Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.species group,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.unknown 2,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.subphylum,Taxonomy.NCBI.species subgroup
Bradyrhizobium japonicum,AB100740,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_57,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium japonicum,,,,,,,,
Bradyrhizobium japonicum,AB100741,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_58,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium japonicum,,,,,,,,
Bradyrhizobium elkanii,AB100742,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_59,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium elkanii,,,,,,,,
Bradyrhizobium japonicum,AB100743,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_60,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium japonicum,,,,,,,,
Bradyrhizobium elkanii,AB100744,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_61,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium elkanii,,,,,,,,
Bradyrhizobium elkanii,AB100745,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_62,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium elkanii,,,,,,,,
Bradyrhizobium japonicum,AB100746,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_63,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium japonicum,,,,,,,,
Bradyrhizobium elkanii,AB100747,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_64,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium elkanii,,,,,,,,
Bradyrhizobium elkanii,AB100748,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_65,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium elkanii,,,,,,,,
Bradyrhizobium japonicum,AB100750,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_67,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium japonicum,,,,,,,,
