Organism name,Length,Benchmark ID,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum
uncultured Staphylococcus sp.,778,CRW_16S_B_12753,Bacteria,Firmicutes
uncultured Staphylococcus sp.,372,CRW_16S_B_9950,Bacteria,Firmicutes
uncultured Staphylococcus sp.,748,CRW_16S_B_12754,Bacteria,Firmicutes
uncultured Staphylococcus sp.,782,CRW_16S_B_9961,Bacteria,Firmicutes
uncultured Staphylococcus sp.,753,CRW_16S_B_12755,Bacteria,Firmicutes
uncultured Staphylococcus sp.,792,CRW_16S_B_9962,Bacteria,Firmicutes
uncultured Staphylococcus sp.,796,CRW_16S_B_12756,Bacteria,Firmicutes
uncultured Staphylococcus sp.,790,CRW_16S_B_9963,Bacteria,Firmicutes
uncultured Staphylococcus sp.,753,CRW_16S_B_12758,Bacteria,Firmicutes
uncultured Staphylococcus sp.,779,CRW_16S_B_9964,Bacteria,Firmicutes
uncultured Staphylococcus sp.,752,CRW_16S_B_12759,Bacteria,Firmicutes
uncultured Staphylococcus sp.,787,CRW_16S_B_9965,Bacteria,Firmicutes
uncultured Staphylococcus sp.,755,CRW_16S_B_12760,Bacteria,Firmicutes
uncultured Staphylococcus sp.,778,CRW_16S_B_9966,Bacteria,Firmicutes
uncultured Staphylococcus sp.,750,CRW_16S_B_12761,Bacteria,Firmicutes
uncultured Staphylococcus sp.,373,CRW_16S_B_9967,Bacteria,Firmicutes
uncultured Staphylococcus sp.,783,CRW_16S_B_12762,Bacteria,Firmicutes
uncultured Streptococcus sp.,749,CRW_16S_B_9968,Bacteria,Firmicutes
uncultured Staphylococcus sp.,793,CRW_16S_B_12763,Bacteria,Firmicutes
Bacillus clausii,707,CRW_16S_B_9972,Bacteria,Firmicutes
uncultured Staphylococcus sp.,781,CRW_16S_B_12768,Bacteria,Firmicutes
uncultured Streptococcus sp.,755,CRW_16S_B_12769,Bacteria,Firmicutes
Staphylococcus xylosus,751,CRW_16S_B_9976,Bacteria,Firmicutes
Staphylococcus aureus,533,CRW_16S_B_12787,Bacteria,Firmicutes
Planomicrobium mcmeekinii,773,CRW_16S_B_9977,Bacteria,Firmicutes
Jeotgalibacillus alimentarius,721,CRW_16S_B_9979,Bacteria,Firmicutes
Bacillus pumilus,683,CRW_16S_B_9980,Bacteria,Firmicutes
Bacillus megaterium,772,CRW_16S_B_9982,Bacteria,Firmicutes
Staphylococcus gallinarum,711,CRW_16S_B_9983,Bacteria,Firmicutes
Bacillus niacini,711,CRW_16S_B_9984,Bacteria,Firmicutes
Bacillus subtilis,644,CRW_16S_B_9985,Bacteria,Firmicutes
Bacillus niacini,644,CRW_16S_B_9986,Bacteria,Firmicutes
Geobacillus stearothermophilus,488,CRW_16S_B_12815,Bacteria,Firmicutes
Bacillus cereus,677,CRW_16S_B_12819,Bacteria,Firmicutes
Streptococcus halichoeri,455,CRW_16S_B_12867,Bacteria,Firmicutes
uncultured Bacilli bacterium,440,CRW_16S_B_9989,Bacteria,Firmicutes
Streptococcus devriesei,420,CRW_16S_B_12869,Bacteria,Firmicutes
uncultured Streptococcus sp.,563,CRW_16S_B_10005,Bacteria,Firmicutes
Streptococcus dysgalactiae subsp. equisimilis,448,CRW_16S_B_12870,Bacteria,Firmicutes
uncultured Streptococcus sp.,681,CRW_16S_B_10006,Bacteria,Firmicutes
uncultured Bacillus sp.,636,CRW_16S_B_12886,Bacteria,Firmicutes
uncultured Bacillus sp.,454,CRW_16S_B_12887,Bacteria,Firmicutes
Streptococcus iniae,654,CRW_16S_B_10014,Bacteria,Firmicutes
uncultured Bacillus sp.,420,CRW_16S_B_10025,Bacteria,Firmicutes
Staphylococcus epidermidis,651,CRW_16S_B_10026,Bacteria,Firmicutes
Bacillus anthracis,608,CRW_16S_B_13026,Bacteria,Firmicutes
Staphylococcus warneri,536,CRW_16S_B_10031,Bacteria,Firmicutes
Staphylococcus warneri,536,CRW_16S_B_10032,Bacteria,Firmicutes
uncultured bacterium,503,CRW_16S_B_13034,Bacteria,
Staphylococcus warneri,536,CRW_16S_B_10033,Bacteria,Firmicutes
Bacillus cereus,629,CRW_16S_B_10044,Bacteria,Firmicutes
Bacillus megaterium,537,CRW_16S_B_10045,Bacteria,Firmicutes
Bacillus luciferensis,724,CRW_16S_B_10081,Bacteria,Firmicutes
Bacillus luciferensis,676,CRW_16S_B_10082,Bacteria,Firmicutes
Bacillus luciferensis,630,CRW_16S_B_10083,Bacteria,Firmicutes
Lactococcus lactis,320,CRW_16S_B_13112,Bacteria,Firmicutes
Bacillus luciferensis,722,CRW_16S_B_10084,Bacteria,Firmicutes
Bacillus luciferensis,648,CRW_16S_B_10085,Bacteria,Firmicutes
Bacillus luciferensis,674,CRW_16S_B_10086,Bacteria,Firmicutes
Bacillus luciferensis,697,CRW_16S_B_10087,Bacteria,Firmicutes
Bacillus luciferensis,646,CRW_16S_B_10088,Bacteria,Firmicutes
Bacillus luciferensis,649,CRW_16S_B_10089,Bacteria,Firmicutes
Bacillus luciferensis,674,CRW_16S_B_10090,Bacteria,Firmicutes
Bacillus luciferensis,734,CRW_16S_B_10091,Bacteria,Firmicutes
Bacillus luciferensis,671,CRW_16S_B_10092,Bacteria,Firmicutes
Enterococcus faecalis,546,CRW_16S_B_13144,Bacteria,Firmicutes
Bacillus luciferensis,587,CRW_16S_B_10093,Bacteria,Firmicutes
Enterococcus faecalis,546,CRW_16S_B_13145,Bacteria,Firmicutes
