Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.unknown 4
Xanthomonas arboricola pv. pruni,AF035441,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_560,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,
Xanthomonas arboricola pv. pruni,AJ936965,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1569,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,
Bartonella quintana str. Toulouse,BX897700,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3153,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,,,,,
Francisella tularensis subsp. holarctica OSU18,CP000437,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3663,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Francisellaceae,Francisella,Francisellales,,,,
Francisella tularensis subsp. holarctica OSU18,CP000437,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3664,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Francisellaceae,Francisella,Francisellales,,,,
Francisella tularensis subsp. holarctica OSU18,CP000437,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_3665,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Francisellaceae,Francisella,Francisellales,,,,
Synechococcus elongatus PCC 7942,AB003135,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4573,--,Yes,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,,Cyanobacteriia,Synechococcus PCC-7942,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4786,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4787,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4788,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4789,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Bacillus anthracis str. Sterne,AE017225,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4790,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Yersinia pseudotuberculosis,AJ009592,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4849,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,
Yersinia pseudotuberculosis,AJ009593,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4850,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,,,,,
Symbiobacterium thermophilum IAM 14863,AP006840,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4982,--,Yes,Bacteria,Firmicutes,,,,Symbiobacterium,Symbiobacteriia,Symbiobacteriales,Symbiobacteraceae,,
Symbiobacterium thermophilum IAM 14863,AP006840,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4983,--,Yes,Bacteria,Firmicutes,,,,Symbiobacterium,Symbiobacteriia,Symbiobacteriales,Symbiobacteraceae,,
Symbiobacterium thermophilum IAM 14863,AP006840,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4984,--,Yes,Bacteria,Firmicutes,,,,Symbiobacterium,Symbiobacteriia,Symbiobacteriales,Symbiobacteraceae,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5171,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5172,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5173,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5174,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Bacillus cereus E33L,CP000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5175,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Francisella tularensis subsp. holarctica OSU18,CP000437,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5435,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,Francisellaceae,Francisella,Francisellales,,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5483,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5484,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5485,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5486,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Bacillus thuringiensis str. Al Hakam,CP000485,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5487,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,
Clostridium tetani E88,AE015927,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_5981,--,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,Clostridium sensu stricto 15,,,,
Lactobacillus plantarum WCFS1,AL935256,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6188,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,Lactiplantibacillus,,,,
Lactobacillus plantarum WCFS1,AL935258,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6189,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,Lactiplantibacillus,,,,
Pelodictyon luteolum DSM 273,CP000096,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6651,--,Yes,Bacteria,,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,Bacteroidota,,,,
Mycobacterium avium 104,CP000479,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6884,--,Yes,Bacteria,Actinobacteria,,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Actinobacteriota,,,,
Acidothermus cellulolyticus 11B,CP000481,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6886,--,Yes,Bacteria,Actinobacteria,,Frankiales,Acidothermaceae,Acidothermus,Actinobacteriota,,,,
Mycoplasma mycoides,X03154,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_7185,--,Yes,Bacteria,Firmicutes,Bacilli,Entomoplasmatales,Entomoplasmataceae,,[Mycoplasma] group,,,,
