Organism name,Length,Benchmark ID,Taxonomy.GTDB.domain,Taxonomy.GTDB.phylum
uncultured Staphylococcus sp.,372,CRW_16S_B_9950,Bacteria,Firmicutes
uncultured Staphylococcus sp.,782,CRW_16S_B_9961,Bacteria,Firmicutes
uncultured Staphylococcus sp.,792,CRW_16S_B_9962,Bacteria,Firmicutes
uncultured Staphylococcus sp.,790,CRW_16S_B_9963,Bacteria,Firmicutes
uncultured Staphylococcus sp.,779,CRW_16S_B_9964,Bacteria,Firmicutes
uncultured Staphylococcus sp.,787,CRW_16S_B_9965,Bacteria,Firmicutes
uncultured Staphylococcus sp.,778,CRW_16S_B_9966,Bacteria,Firmicutes
uncultured Staphylococcus sp.,373,CRW_16S_B_9967,Bacteria,Firmicutes
uncultured Streptococcus sp.,749,CRW_16S_B_9968,Bacteria,Firmicutes
Staphylococcus xylosus,751,CRW_16S_B_9976,Bacteria,Firmicutes
Planomicrobium mcmeekinii,773,CRW_16S_B_9977,Bacteria,Firmicutes
Jeotgalibacillus alimentarius,721,CRW_16S_B_9979,Bacteria,Firmicutes
Bacillus pumilus,683,CRW_16S_B_9980,Bacteria,Firmicutes
Staphylococcus gallinarum,711,CRW_16S_B_9983,Bacteria,Firmicutes
Bacillus subtilis,644,CRW_16S_B_9985,Bacteria,Firmicutes
uncultured Bacilli bacterium,440,CRW_16S_B_9989,Bacteria,Firmicutes
uncultured Streptococcus sp.,563,CRW_16S_B_10005,Bacteria,Firmicutes
uncultured Streptococcus sp.,681,CRW_16S_B_10006,Bacteria,Firmicutes
Streptococcus iniae,654,CRW_16S_B_10014,Bacteria,Firmicutes
Staphylococcus epidermidis,651,CRW_16S_B_10026,Bacteria,Firmicutes
Staphylococcus warneri,536,CRW_16S_B_10031,Bacteria,Firmicutes
Staphylococcus warneri,536,CRW_16S_B_10032,Bacteria,Firmicutes
Staphylococcus warneri,536,CRW_16S_B_10033,Bacteria,Firmicutes
Bacillus cereus,629,CRW_16S_B_10044,Bacteria,Firmicutes
Bacillus luciferensis,724,CRW_16S_B_10081,Bacteria,Firmicutes
Bacillus luciferensis,676,CRW_16S_B_10082,Bacteria,Firmicutes
Bacillus luciferensis,630,CRW_16S_B_10083,Bacteria,Firmicutes
Bacillus luciferensis,722,CRW_16S_B_10084,Bacteria,Firmicutes
Bacillus luciferensis,648,CRW_16S_B_10085,Bacteria,Firmicutes
Bacillus luciferensis,674,CRW_16S_B_10086,Bacteria,Firmicutes
Bacillus luciferensis,697,CRW_16S_B_10087,Bacteria,Firmicutes
Bacillus luciferensis,646,CRW_16S_B_10088,Bacteria,Firmicutes
Bacillus luciferensis,649,CRW_16S_B_10089,Bacteria,Firmicutes
Bacillus luciferensis,674,CRW_16S_B_10090,Bacteria,Firmicutes
Bacillus luciferensis,734,CRW_16S_B_10091,Bacteria,Firmicutes
