Organism name,Length,Benchmark ID,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.order,Taxonomy.ENA.class
Halorubrum sodomense,72,CRW_t_A_10,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Halorubrum saccharovorum,72,CRW_t_A_11,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Halorubrum lacusprofundi ATCC 49239,72,CRW_t_A_12,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Halorubrum distributum,72,CRW_t_A_13,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Halorubrum coriense,72,CRW_t_A_14,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Natronomonas pharaonis DSM 2160,72,CRW_t_A_15,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Natronobacterium gregoryi,72,CRW_t_A_16,Archaea,Euryarchaeota,Natrialbales,Halobacteria
Halorubrum vacuolatum,72,CRW_t_A_17,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Halosimplex carlsbadense,72,CRW_t_A_47,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Halosimplex carlsbadense,72,CRW_t_A_48,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Haloferax volcanii,75,CRW_t_A_224,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Pyrobaculum aerophilum,72,CRW_t_A_225,Archaea,Crenarchaeota,Thermoproteales,Thermoprotei
Archaeoglobus fulgidus DSM 4304,72,CRW_t_A_238,Archaea,Euryarchaeota,Archaeoglobales,Archaeoglobi
Archaeoglobus fulgidus DSM 4304,74,CRW_t_A_239,Archaea,Euryarchaeota,Archaeoglobales,Archaeoglobi
Archaeoglobus fulgidus DSM 4304,72,CRW_t_A_240,Archaea,Euryarchaeota,Archaeoglobales,Archaeoglobi
Methanosarcina mazei Go1,72,CRW_t_A_289,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosarcina mazei Go1,73,CRW_t_A_290,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Methanosarcina mazei Go1,72,CRW_t_A_291,Archaea,Euryarchaeota,Methanosarcinales,Methanomicrobia
Pyrobaculum aerophilum str. IM2,75,CRW_t_A_310,Archaea,Crenarchaeota,Thermoproteales,Thermoprotei
Pyrobaculum aerophilum str. IM2,72,CRW_t_A_311,Archaea,Crenarchaeota,Thermoproteales,Thermoprotei
Pyrococcus furiosus DSM 3638,78,CRW_t_A_320,Archaea,Euryarchaeota,Thermococcales,Thermococci
Pyrococcus furiosus DSM 3638,77,CRW_t_A_321,Archaea,Euryarchaeota,Thermococcales,Thermococci
Pyrococcus furiosus DSM 3638,78,CRW_t_A_322,Archaea,Euryarchaeota,Thermococcales,Thermococci
Methanopyrus kandleri AV19,77,CRW_t_A_324,Archaea,Euryarchaeota,Methanopyrales,Methanopyri
Methanopyrus kandleri AV19,77,CRW_t_A_325,Archaea,Euryarchaeota,Methanopyrales,Methanopyri
Haloarcula marismortui,72,CRW_t_A_559,Archaea,Euryarchaeota,Halobacteriales,Halobacteria
Haloferax volcanii,75,CRW_t_A_1295,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Thermoplasma acidophilum,72,CRW_t_A_1589,Archaea,Euryarchaeota,Thermoplasmatales,Thermoplasmata
Thermoplasma acidophilum,72,CRW_t_A_1590,Archaea,Euryarchaeota,Thermoplasmatales,Thermoplasmata
uncultured methanogenic archaeon,72,CRW_t_A_1649,Archaea,Euryarchaeota,,
uncultured methanogenic archaeon,73,CRW_t_A_1650,Archaea,Euryarchaeota,,
uncultured methanogenic archaeon,73,CRW_t_A_1651,Archaea,Euryarchaeota,,
Haloquadratum walsbyi DSM 16790,72,CRW_t_A_1658,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Haloquadratum walsbyi DSM 16790,72,CRW_t_A_1659,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Haloquadratum walsbyi DSM 16790,72,CRW_t_A_1660,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Haloquadratum walsbyi DSM 16790,72,CRW_t_A_1661,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Thermococcus kodakarensis KOD1,78,CRW_t_A_1770,Archaea,Euryarchaeota,Thermococcales,Thermococci
Thermococcus kodakarensis KOD1,77,CRW_t_A_1771,Archaea,Euryarchaeota,Thermococcales,Thermococci
Thermococcus kodakarensis KOD1,78,CRW_t_A_1772,Archaea,Euryarchaeota,Thermococcales,Thermococci
Archaeoglobus fulgidus,72,CRW_t_A_1847,Archaea,Euryarchaeota,Archaeoglobales,Archaeoglobi
Archaeoglobus fulgidus,72,CRW_t_A_1848,Archaea,Euryarchaeota,Archaeoglobales,Archaeoglobi
Haloferax volcanii,75,CRW_t_A_1849,Archaea,Euryarchaeota,Haloferacales,Halobacteria
Methanospirillum hungatei,73,CRW_t_A_1853,Archaea,Euryarchaeota,Methanomicrobiales,Methanomicrobia
