Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.phylum,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.class,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0,Taxonomy.SILVA.unknown 4
Tropheryma whipplei str. Twist,AE014184,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_364,--,Yes,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Tropheryma,,,,,,
Porphyromonas gingivalis W83,AE015924,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_394,--,Yes,Bacteria,Bacteroidota,,Bacteroidales,Porphyromonadaceae,Porphyromonas,Bacteroidia,,,,,
Mycoplasma synoviae 53,AE017245,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_497,--,Yes,Bacteria,,Firmicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Bacilli,,,,,
Acholeplasma axanthum,AF005315,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_537,--,Yes,Bacteria,,Firmicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Bacilli,,,,,
Actinobacillus seminis,AF013276,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_542,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Pasteurellaceae,Actinobacillus,Gammaproteobacteria,,,,,
Campylobacter jejuni,AF074828,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_583,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Campylobacter jejuni,AF074829,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_584,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Campylobacter jejuni,AF074830,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_585,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Campylobacter jejuni,AF074831,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_586,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Campylobacter jejuni,AF074832,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_587,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Campylobacter jejuni,AF074833,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_588,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Campylobacter jejuni,AF074834,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_589,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Campylobacter jejuni,AF074835,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_590,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Campylobacter jejuni,AF074836,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_591,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Campylobacter coli,AF074837,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_592,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
