Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.family,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0
Heterosigma akashiwo,AB181955,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_82,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,,,,,
Heterosigma akashiwo,AB181956,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_83,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,,,,,
Heterosigma akashiwo,AB181957,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_84,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,,,,,
Heterosigma akashiwo,AB181958,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_85,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,,,,,
Lactobacillus paracasei subsp. tolerans,AB237502,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_89,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lacticaseibacillus,Lactobacillaceae,,,,,
Lactobacillus rhamnosus,AB237512,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_94,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lacticaseibacillus,Lactobacillaceae,,,,,
Lactobacillus zeae,AB237514,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_95,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lacticaseibacillus,Lactobacillaceae,,,,,
Lactobacillus casei subsp. casei ATCC 393,AB237516,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_96,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lacticaseibacillus,Lactobacillaceae,,,,,
Lactobacillus casei,AB237518,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_97,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lacticaseibacillus,Lactobacillaceae,,,,,
Lactobacillus casei,AB237520,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_98,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lacticaseibacillus,Lactobacillaceae,,,,,
Lactobacillus casei,AB237522,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_99,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lacticaseibacillus,Lactobacillaceae,,,,,
Lactobacillus casei,AB237523,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_100,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lacticaseibacillus,Lactobacillaceae,,,,,
Nicotiana tomentosiformis,AB240139,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_103,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,,Chloroplast,,,,
Nicotiana tomentosiformis,AB240139,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_104,--,Yes,Bacteria,Cyanobacteria,,,Cyanobacteriia,,Chloroplast,,,,
Virgibacillus marismortui,AB243786,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_117,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,,Bacillaceae,,Virgibacillus,,,
Helicobacter pylori 26695,AE000511,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_228,--,Yes,Bacteria,,,Campylobacterales,Campylobacterota,Helicobacteraceae,Campylobacteria,Helicobacter,,,
Thermotoga maritima MSB8,AE000512,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_229,--,Yes,Bacteria,Thermotogae,,Thermotogales,Thermotogota,Thermotogaceae,,Thermotoga,,,
