Organism name,Length,Benchmark ID,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order
Halorubrum sodomense,72,CRW_t_A_10,Archaea,,Halobacteria,
Halorubrum saccharovorum,72,CRW_t_A_11,Archaea,,Halobacteria,
Halorubrum lacusprofundi ATCC 49239,72,CRW_t_A_12,Archaea,,Halobacteria,
Halorubrum distributum,72,CRW_t_A_13,Archaea,,Halobacteria,
Halorubrum coriense,72,CRW_t_A_14,Archaea,,Halobacteria,
Natronomonas pharaonis DSM 2160,72,CRW_t_A_15,Archaea,,Halobacteria,
Natronobacterium gregoryi,72,CRW_t_A_16,Archaea,,Halobacteria,
Halorubrum vacuolatum,72,CRW_t_A_17,Archaea,,Halobacteria,
Halosimplex carlsbadense,72,CRW_t_A_47,Archaea,,Halobacteria,
Halosimplex carlsbadense,72,CRW_t_A_48,Archaea,,Halobacteria,
Haloferax volcanii,75,CRW_t_A_224,Archaea,,Halobacteria,
Pyrobaculum aerophilum,72,CRW_t_A_225,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales
Archaeoglobus fulgidus DSM 4304,72,CRW_t_A_238,Archaea,,Archaeoglobi,Archaeoglobales
Archaeoglobus fulgidus DSM 4304,74,CRW_t_A_239,Archaea,,Archaeoglobi,Archaeoglobales
Archaeoglobus fulgidus DSM 4304,72,CRW_t_A_240,Archaea,,Archaeoglobi,Archaeoglobales
Methanosarcina mazei Go1,72,CRW_t_A_289,Archaea,,,
Methanosarcina mazei Go1,73,CRW_t_A_290,Archaea,,,
Methanosarcina mazei Go1,72,CRW_t_A_291,Archaea,,,
Pyrobaculum aerophilum str. IM2,75,CRW_t_A_310,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales
Pyrobaculum aerophilum str. IM2,72,CRW_t_A_311,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales
Pyrococcus furiosus DSM 3638,78,CRW_t_A_320,Archaea,Euryarchaeota,Thermococci,Thermococcales
Pyrococcus furiosus DSM 3638,77,CRW_t_A_321,Archaea,Euryarchaeota,Thermococci,Thermococcales
Pyrococcus furiosus DSM 3638,78,CRW_t_A_322,Archaea,Euryarchaeota,Thermococci,Thermococcales
Methanopyrus kandleri AV19,77,CRW_t_A_324,Archaea,Euryarchaeota,Methanopyri,Methanopyrales
Methanopyrus kandleri AV19,77,CRW_t_A_325,Archaea,Euryarchaeota,Methanopyri,Methanopyrales
Haloarcula marismortui,72,CRW_t_A_559,Archaea,,Halobacteria,
Haloferax volcanii,75,CRW_t_A_1295,Archaea,,Halobacteria,
Thermoplasma acidophilum,72,CRW_t_A_1589,Archaea,,Thermoplasmata,Thermoplasmatales
Thermoplasma acidophilum,72,CRW_t_A_1590,Archaea,,Thermoplasmata,Thermoplasmatales
uncultured methanogenic archaeon,72,CRW_t_A_1649,Archaea,,,
uncultured methanogenic archaeon,73,CRW_t_A_1650,Archaea,,,
uncultured methanogenic archaeon,73,CRW_t_A_1651,Archaea,,,
Haloquadratum walsbyi DSM 16790,72,CRW_t_A_1658,Archaea,,Halobacteria,
Haloquadratum walsbyi DSM 16790,72,CRW_t_A_1659,Archaea,,Halobacteria,
Haloquadratum walsbyi DSM 16790,72,CRW_t_A_1660,Archaea,,Halobacteria,
Haloquadratum walsbyi DSM 16790,72,CRW_t_A_1661,Archaea,,Halobacteria,
