Organism name,Length,Benchmark ID,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum
uncultured Staphylococcus sp.,372,CRW_16S_B_9950,Bacteria,Firmicutes
uncultured Streptococcus sp.,749,CRW_16S_B_9968,Bacteria,Firmicutes
Bacillus clausii,707,CRW_16S_B_9972,Bacteria,Firmicutes
Staphylococcus xylosus,751,CRW_16S_B_9976,Bacteria,Firmicutes
Planomicrobium mcmeekinii,773,CRW_16S_B_9977,Bacteria,Firmicutes
Jeotgalibacillus alimentarius,721,CRW_16S_B_9979,Bacteria,Firmicutes
Bacillus pumilus,683,CRW_16S_B_9980,Bacteria,Firmicutes
Bacillus megaterium,772,CRW_16S_B_9982,Bacteria,Firmicutes
Staphylococcus gallinarum,711,CRW_16S_B_9983,Bacteria,Firmicutes
Bacillus niacini,711,CRW_16S_B_9984,Bacteria,Firmicutes
Bacillus subtilis,644,CRW_16S_B_9985,Bacteria,Firmicutes
uncultured Bacilli bacterium,440,CRW_16S_B_9989,Bacteria,Firmicutes
Streptococcus iniae,654,CRW_16S_B_10014,Bacteria,Firmicutes
uncultured Bacillus sp.,420,CRW_16S_B_10025,Bacteria,Firmicutes
Staphylococcus epidermidis,651,CRW_16S_B_10026,Bacteria,Firmicutes
Staphylococcus warneri,536,CRW_16S_B_10031,Bacteria,Firmicutes
Bacillus cereus,629,CRW_16S_B_10044,Bacteria,Firmicutes
Bacillus luciferensis,724,CRW_16S_B_10081,Bacteria,Firmicutes
Staphylococcus aureus,542,CRW_16S_B_10109,Bacteria,Firmicutes
Enterococcus faecalis,312,CRW_16S_B_10224,Bacteria,Firmicutes
Staphylococcus saprophyticus,616,CRW_16S_B_10225,Bacteria,Firmicutes
Staphylococcus equorum,618,CRW_16S_B_10226,Bacteria,Firmicutes
Staphylococcus pasteuri,499,CRW_16S_B_10258,Bacteria,Firmicutes
Bacillus endophyticus,588,CRW_16S_B_10267,Bacteria,Firmicutes
Bacillus licheniformis,588,CRW_16S_B_10274,Bacteria,Firmicutes
Staphylococcus haemolyticus,459,CRW_16S_B_10360,Bacteria,Firmicutes
uncultured Bacillales bacterium,590,CRW_16S_B_10366,Bacteria,Firmicutes
uncultured low G+C Gram-positive bacterium,438,CRW_16S_B_10436,Bacteria,Firmicutes
Streptococcus vestibularis,780,CRW_16S_B_10471,Bacteria,Firmicutes
uncultured Enterococcus sp.,545,CRW_16S_B_10603,Bacteria,Firmicutes
Halobacillus litoralis,796,CRW_16S_B_10622,Bacteria,Firmicutes
Staphylococcus aureus subsp. anaerobius,464,CRW_16S_B_10689,Bacteria,Firmicutes
Staphylococcus caprae,464,CRW_16S_B_10694,Bacteria,Firmicutes
Staphylococcus capitis subsp. urealyticus,464,CRW_16S_B_10698,Bacteria,Firmicutes
Staphylococcus cohnii subsp. urealyticus,464,CRW_16S_B_10699,Bacteria,Firmicutes
Staphylococcus hominis subsp. novobiosepticus,464,CRW_16S_B_10711,Bacteria,Firmicutes
Staphylococcus hyicus,464,CRW_16S_B_10712,Bacteria,Firmicutes
Staphylococcus lugdunensis,464,CRW_16S_B_10713,Bacteria,Firmicutes
Staphylococcus muscae,464,CRW_16S_B_10715,Bacteria,Firmicutes
Staphylococcus saccharolyticus,464,CRW_16S_B_10717,Bacteria,Firmicutes
Geobacillus stearothermophilus,746,CRW_16S_B_10770,Bacteria,Firmicutes
Paenibacillus polymyxa,601,CRW_16S_B_10801,Bacteria,Firmicutes
Streptococcus pneumoniae,456,CRW_16S_B_10817,Bacteria,Firmicutes
Bacillus anthracis,586,CRW_16S_B_10898,Bacteria,Firmicutes
Bacillus thuringiensis,506,CRW_16S_B_10909,Bacteria,Firmicutes
uncultured Lactobacillus sp.,297,CRW_16S_B_10916,Bacteria,Firmicutes
uncultured Bacillaceae bacterium,496,CRW_16S_B_10923,Bacteria,Firmicutes
Streptococcus pyogenes,464,CRW_16S_B_10983,Bacteria,Firmicutes
Bacillus benzoevorans,668,CRW_16S_B_11007,Bacteria,Firmicutes
Lactococcus lactis subsp. lactis bv. diacetylactis,507,CRW_16S_B_11134,Bacteria,Firmicutes
Bacillus circulans,509,CRW_16S_B_11401,Bacteria,Firmicutes
Bacillus horikoshii,729,CRW_16S_B_11429,Bacteria,Firmicutes
Bacillus mycoides,483,CRW_16S_B_11457,Bacteria,Firmicutes
Staphylococcus succinus,568,CRW_16S_B_11755,Bacteria,Firmicutes
Halobacillus blutaparonensis,500,CRW_16S_B_11831,Bacteria,Firmicutes
Bacillus amyloliquefaciens,588,CRW_16S_B_11835,Bacteria,Firmicutes
Streptococcus equinus,666,CRW_16S_B_11895,Bacteria,Firmicutes
