Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3
Bradyrhizobium japonicum,AF338828,67,37,30,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_B_883,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,,
Carnobacterium gallinarum,AF374287,63,35,28,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_B_951,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,,,,
Thermotoga petrophila,AJ872269,64,36,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1558,--,Yes,Bacteria,Thermotogae,,Thermotogales,Thermotogaceae,Thermotoga,Thermotogota,,,
uncultured Acidobacteria bacterium,AY281356,69,31,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2103,--,Yes,Bacteria,,Vicinamibacteria,,,,Acidobacteriota,Vicinamibacterales,uncultured,
Xylella fastidiosa,AY388465,67,37,30,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2135,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,,,
Borrelia japonica,AY836548,64,40,24,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2421,--,Yes,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Borreliella,Spirochaetota,,,
uncultured gamma proteobacterium,AY934325,70,30,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2884,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,uncultured,,,
uncultured Marinobacter sp.,AY934352,68,28,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2907,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,Marinobacter,Marinobacteraceae,,,
Adiantum capillus-veneris,AY178864,63,35,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_5042,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Adiantum capillus-veneris,AY178864,62,34,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_5043,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Plasmodium berghei,U79731,63,35,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_5738,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Plantago australis,AY818924,55,33,22,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_6434,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Plantago coronopus,AY818925,54,32,22,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_6435,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Plantago media,AY818927,54,32,22,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_6437,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Plantago rigida,AY818928,54,32,22,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_6438,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Plantago rugelii,AY818929,54,32,22,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_6439,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Mitochondria,,,
Oikopleura dioica,AY449459,60,38,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7521,--,Yes,Bacteria,,Verrucomicrobiae,,,Oikopleura,Verrucomicrobiota,Pedosphaerales,Pedosphaeraceae,
Euglena gracilis,X70810,61,37,24,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7965,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Euglena gracilis,Z11874,61,37,24,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_E_7979,--,Yes,Bacteria,Cyanobacteria,,,,,Cyanobacteriia,Chloroplast,,
Bacillus subtilis,AB002150,69,29,40,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_7995,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,
