Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.no rank 0,Taxonomy.ENA.class,Taxonomy.ENA.order,Taxonomy.ENA.family,Taxonomy.ENA.genus,Taxonomy.ENA.unknown 0,Taxonomy.ENA.species group
uncultured Bacteroidetes bacterium,AY933581,78,38,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2459,--,Yes,Bacteria,Bacteroidetes,environmental samples,,,,,,
uncultured Bacteroidetes bacterium,AY933582,78,38,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2460,--,Yes,Bacteria,Bacteroidetes,environmental samples,,,,,,
uncultured Bacteroidetes bacterium,AY933589,78,38,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2463,--,Yes,Bacteria,Bacteroidetes,environmental samples,,,,,,
uncultured Bacteroidetes bacterium,AY933590,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2464,--,Yes,Bacteria,Bacteroidetes,environmental samples,,,,,,
uncultured Bacteroidetes bacterium,AY933592,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2465,--,Yes,Bacteria,Bacteroidetes,environmental samples,,,,,,
uncultured Bacteroidetes bacterium,AY933595,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2466,--,Yes,Bacteria,Bacteroidetes,environmental samples,,,,,,
uncultured Bacteroidetes bacterium,AY933597,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2467,--,Yes,Bacteria,Bacteroidetes,environmental samples,,,,,,
uncultured Bacteroidetes bacterium,AY933602,76,36,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2468,--,Yes,Bacteria,Bacteroidetes,environmental samples,,,,,,
uncultured Bacteroidetes bacterium,AY933603,78,38,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2469,--,Yes,Bacteria,Bacteroidetes,environmental samples,,,,,,
uncultured Bacteroidetes bacterium,AY933606,78,38,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2471,--,Yes,Bacteria,Bacteroidetes,environmental samples,,,,,,
uncultured Bacteroidetes bacterium,AY933610,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2473,--,Yes,Bacteria,Bacteroidetes,environmental samples,,,,,,
uncultured Bacteroidetes bacterium,AY933627,77,37,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2479,--,Yes,Bacteria,Bacteroidetes,environmental samples,,,,,,
