Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.unknown 2,Taxonomy.NCBI.species group,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.subphylum,Taxonomy.NCBI.tribe,Taxonomy.NCBI.unknown 3,Taxonomy.NCBI.subfamily,Taxonomy.NCBI.no rank 5,Taxonomy.NCBI.species subgroup,Taxonomy.NCBI.suborder,Taxonomy.NCBI.kingdom,Taxonomy.NCBI.no rank 6,Taxonomy.NCBI.no rank 7,Taxonomy.NCBI.no rank 8,Taxonomy.NCBI.no rank 9,Taxonomy.NCBI.superclass,Taxonomy.NCBI.subclass,Taxonomy.NCBI.superorder,Taxonomy.NCBI.superfamily,Taxonomy.NCBI.no rank 10,Taxonomy.NCBI.no rank 11,Taxonomy.NCBI.no rank 12,Taxonomy.NCBI.no rank 13,Taxonomy.NCBI.no rank 14,Taxonomy.NCBI.no rank 15,Taxonomy.NCBI.no rank 16,Taxonomy.NCBI.subkingdom,Taxonomy.NCBI.infraclass,Taxonomy.NCBI.cohort,Taxonomy.NCBI.infraorder,Taxonomy.NCBI.varietas,Taxonomy.NCBI.subgenus,Taxonomy.NCBI.subtribe,Taxonomy.NCBI.subcohort,Taxonomy.NCBI.parvorder,Taxonomy.NCBI.unknown 4,Taxonomy.NCBI.unknown 5,Taxonomy.NCBI.no rank 17,Taxonomy.NCBI.no rank 18,Taxonomy.NCBI.unknown 6
Archaeoglobus fulgidus DSM 4304,AE000782,124,48,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_1,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,Archaeoglobus fulgidus DSM 4304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus solfataricus P2,AE006649,121,45,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_2,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanopyrus kandleri AV19,AE010349,133,57,76,No,0,5S,0,(()()),(((((()))))((()))),--,No,CRW,--,CRW_5S_A_3,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,Methanopyrus kandleri AV19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haloquadratum walsbyi,AM180088,139,63,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_4,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Stenosarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haloquadratum walsbyi,AM180088,139,63,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_5,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Stenosarchaea group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrococcus horikoshii OT3,AP000006,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_6,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,Pyrococcus horikoshii OT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus tokodaii str. 7,AP000986,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_7,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,126,50,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_N_8,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,126,50,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_N_9,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeropyrum pernix,AP000060,137,61,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_10,--,Yes,root,cellular organisms,Archaea,,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Crenarchaeota <phylum>,TACK group,Aeropyrum pernix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeoglobus fulgidus DSM 4304,AE001101,124,48,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_11,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,Archaeoglobus fulgidus DSM 4304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrococcus horikoshii OT3,BA000001,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_12,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,Pyrococcus horikoshii OT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeropyrum pernix K1,BA000002,119,55,64,No,0,5S,0,()(),((()))((())),--,No,CRW,--,CRW_5S_A_13,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus tokodaii str. 7,BA000023,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_14,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrococcus abyssi,AJ248284,122,50,72,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_15,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus abyssi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrococcus abyssi,AJ248285,122,58,64,No,0,5S,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_A_16,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus abyssi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanospirillum hungatei JF-1,CP000254,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_17,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Stenosarchaea group,,Methanospirillum hungatei JF-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanospirillum hungatei JF-1,CP000254,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_18,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Stenosarchaea group,,Methanospirillum hungatei JF-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanospirillum hungatei JF-1,CP000254,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_19,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Stenosarchaea group,,Methanospirillum hungatei JF-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanospirillum hungatei JF-1,CP000254,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_20,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Stenosarchaea group,,Methanospirillum hungatei JF-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanosaeta thermophila PT,CP000477,116,40,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_21,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanosaeta thermophila PT,CP000477,116,40,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_22,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperthermus butylicus DSM 5456,CP000493,130,54,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_23,--,Yes,root,cellular organisms,Archaea,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Crenarchaeota <phylum>,TACK group,Hyperthermus butylicus,Hyperthermus butylicus DSM 5456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylothermus marinus F1,CP000575,115,39,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_24,--,Yes,root,cellular organisms,Archaea,,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Crenarchaeota <phylum>,TACK group,Staphylothermus marinus,Staphylothermus marinus F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
