Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.phylum,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.species group,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.subphylum,Taxonomy.NCBI.unknown 2,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.tribe,Taxonomy.NCBI.subclass,Taxonomy.NCBI.unknown 3,Taxonomy.NCBI.no rank 5,Taxonomy.NCBI.suborder,Taxonomy.NCBI.species subgroup,Taxonomy.NCBI.subfamily
Lactobacillus paracasei subsp. tolerans,AB237502,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_89,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei group,Lactobacillus paracasei,Lactobacillus paracasei subsp. tolerans,,,,,,,,,,,
Lactobacillus rhamnosus,AB237512,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_94,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,Lactobacillus rhamnosus,,,,,,,,,,,,
Lactobacillus zeae,AB237514,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_95,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei group,Lactobacillus zeae,,,,,,,,,,,,
Lactobacillus casei subsp. casei ATCC 393,AB237516,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_96,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei group,Lactobacillus casei,,Lactobacillus casei subsp. casei ATCC 393,,,,,,,,,,
Lactobacillus casei,AB237518,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_97,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei group,Lactobacillus casei,,,,,,,,,,,,
Lactobacillus casei,AB237520,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_98,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei group,Lactobacillus casei,,,,,,,,,,,,
Lactobacillus casei,AB237522,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_99,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei group,Lactobacillus casei,,,,,,,,,,,,
Lactobacillus casei,AB237523,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_100,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei group,Lactobacillus casei,,,,,,,,,,,,
Virgibacillus marismortui,AB243786,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_117,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,,Virgibacillus marismortui,,,,,,,,,,,,
Helicobacter pylori 26695,AE000511,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_228,--,Yes,root,cellular organisms,Bacteria,Helicobacter pylori 26695,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,,Helicobacter pylori,,,delta/epsilon subdivisions,,,,,,,,,
