Organism name,Length,Benchmark ID,Taxonomy.GTDB.domain,Taxonomy.GTDB.phylum
uncultured Staphylococcus sp.,861,CRW_16S_B_9940,Bacteria,Firmicutes
uncultured Staphylococcus sp.,857,CRW_16S_B_9941,Bacteria,Firmicutes
uncultured Staphylococcus sp.,856,CRW_16S_B_9942,Bacteria,Firmicutes
uncultured Staphylococcus sp.,856,CRW_16S_B_9943,Bacteria,Firmicutes
uncultured Staphylococcus sp.,857,CRW_16S_B_9944,Bacteria,Firmicutes
uncultured Staphylococcus sp.,829,CRW_16S_B_9945,Bacteria,Firmicutes
uncultured Staphylococcus sp.,855,CRW_16S_B_9946,Bacteria,Firmicutes
uncultured Staphylococcus sp.,857,CRW_16S_B_9947,Bacteria,Firmicutes
uncultured Staphylococcus sp.,806,CRW_16S_B_9948,Bacteria,Firmicutes
uncultured Staphylococcus sp.,805,CRW_16S_B_9949,Bacteria,Firmicutes
uncultured Staphylococcus sp.,888,CRW_16S_B_9951,Bacteria,Firmicutes
uncultured Staphylococcus sp.,891,CRW_16S_B_9952,Bacteria,Firmicutes
uncultured Staphylococcus sp.,878,CRW_16S_B_9953,Bacteria,Firmicutes
uncultured Staphylococcus sp.,895,CRW_16S_B_9954,Bacteria,Firmicutes
uncultured Staphylococcus sp.,873,CRW_16S_B_9955,Bacteria,Firmicutes
uncultured Staphylococcus sp.,857,CRW_16S_B_9956,Bacteria,Firmicutes
uncultured Staphylococcus sp.,856,CRW_16S_B_9957,Bacteria,Firmicutes
uncultured Staphylococcus sp.,840,CRW_16S_B_9958,Bacteria,Firmicutes
uncultured Staphylococcus sp.,804,CRW_16S_B_9959,Bacteria,Firmicutes
uncultured Staphylococcus sp.,803,CRW_16S_B_9960,Bacteria,Firmicutes
uncultured low G+C Gram-positive bacterium,856,CRW_16S_B_9969,,
uncultured low G+C Gram-positive bacterium,856,CRW_16S_B_9970,,
Bacillus niacini,819,CRW_16S_B_9981,,
uncultured Bacillus sp.,916,CRW_16S_B_10061,,
uncultured Bacillus sp.,891,CRW_16S_B_10062,,
uncultured Bacillus sp.,889,CRW_16S_B_10063,,
uncultured Bacillus sp.,884,CRW_16S_B_10064,,
uncultured Bacillus sp.,916,CRW_16S_B_10065,,
uncultured Bacillus sp.,901,CRW_16S_B_10066,,
uncultured Bacillus sp.,901,CRW_16S_B_10067,,
