Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.unknown 1
Halorubrum sodomense,AB003404,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sodomense,,
Halorubrum saccharovorum,AB003405,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum saccharovorum,,
Halorubrum lacusprofundi ATCC 49239,AB003406,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum lacusprofundi,Halorubrum lacusprofundi ATCC 49239,
Halorubrum distributum,AB003407,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum distributum,,
Halorubrum coriense,AB003408,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_14,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum coriense,,
Natronomonas pharaonis DSM 2160,AB003409,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_15,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas pharaonis,Natronomonas pharaonis DSM 2160,
Natronobacterium gregoryi,AB003410,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_16,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,Natronobacterium gregoryi,,
Halorubrum vacuolatum,AB003411,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_17,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum vacuolatum,,
Halosimplex carlsbadense,AB072815,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_47,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halosimplex,Halosimplex carlsbadense,,
Halosimplex carlsbadense,AB072816,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_48,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halosimplex,Halosimplex carlsbadense,,
