Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.LTP.Classified,Taxonomy.LTP.superkingdom,Taxonomy.LTP.unknown 0,Taxonomy.LTP.class,Taxonomy.LTP.unknown 1,Taxonomy.LTP.unknown 2,Taxonomy.LTP.order,Taxonomy.LTP.family,Taxonomy.LTP.phylum
Fusobacterium necrophorum subsp. necrophorum,AF363751,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_941,--,Yes,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriotales,Fusobacteriotaceae,,,
Yersinia pseudotuberculosis,AJ009592,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4849,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Enterobacterales,Yersiniaceae,
Yersinia pseudotuberculosis,AJ009593,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_4850,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Enterobacterales,Yersiniaceae,
Escherichia coli,M29107,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_13406,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Enterobacterales,Enterobacteriaceae,
Campylobacter jejuni,Y17167,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_13653,--,Yes,Bacteria,Campylobacterota,,Campylobacteria,,Campylobacterales,Campylobacteraceae,
Bradyrhizobium elkanii,AB100744,78,34,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_15539,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,,
Bradyrhizobium elkanii,AB100745,78,34,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_15540,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,,
Acinetobacter baumannii,U60279,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15654,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,,,Moraxellaceae,
Acinetobacter calcoaceticus,U60278,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_15675,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,,,Moraxellaceae,
Bradyrhizobium denitrificans,AF338168,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_16308,--,Yes,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,,,
