Organism name,Length,Benchmark ID,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum
uncultured Staphylococcus sp.,778,CRW_16S_B_12753,Bacteria,Firmicutes
uncultured Staphylococcus sp.,372,CRW_16S_B_9950,Bacteria,Firmicutes
uncultured Staphylococcus sp.,748,CRW_16S_B_12754,Bacteria,Firmicutes
uncultured Staphylococcus sp.,782,CRW_16S_B_9961,Bacteria,Firmicutes
uncultured Staphylococcus sp.,753,CRW_16S_B_12755,Bacteria,Firmicutes
uncultured Staphylococcus sp.,792,CRW_16S_B_9962,Bacteria,Firmicutes
uncultured Staphylococcus sp.,796,CRW_16S_B_12756,Bacteria,Firmicutes
uncultured Staphylococcus sp.,790,CRW_16S_B_9963,Bacteria,Firmicutes
uncultured Staphylococcus sp.,753,CRW_16S_B_12758,Bacteria,Firmicutes
uncultured Staphylococcus sp.,779,CRW_16S_B_9964,Bacteria,Firmicutes
uncultured Staphylococcus sp.,752,CRW_16S_B_12759,Bacteria,Firmicutes
uncultured Staphylococcus sp.,787,CRW_16S_B_9965,Bacteria,Firmicutes
uncultured Staphylococcus sp.,755,CRW_16S_B_12760,Bacteria,Firmicutes
uncultured Staphylococcus sp.,778,CRW_16S_B_9966,Bacteria,Firmicutes
uncultured Staphylococcus sp.,750,CRW_16S_B_12761,Bacteria,Firmicutes
uncultured Staphylococcus sp.,373,CRW_16S_B_9967,Bacteria,Firmicutes
uncultured Staphylococcus sp.,783,CRW_16S_B_12762,Bacteria,Firmicutes
uncultured Streptococcus sp.,749,CRW_16S_B_9968,Bacteria,Firmicutes
uncultured Staphylococcus sp.,793,CRW_16S_B_12763,Bacteria,Firmicutes
Bacillus clausii,707,CRW_16S_B_9972,Bacteria,Firmicutes
uncultured Staphylococcus sp.,781,CRW_16S_B_12768,Bacteria,Firmicutes
Planococcus sp. 'Mali 5',686,CRW_16S_B_9975,,
uncultured Streptococcus sp.,755,CRW_16S_B_12769,Bacteria,Firmicutes
Staphylococcus xylosus,751,CRW_16S_B_9976,Bacteria,Firmicutes
Staphylococcus aureus,533,CRW_16S_B_12787,Bacteria,Firmicutes
Planomicrobium mcmeekinii,773,CRW_16S_B_9977,Bacteria,Firmicutes
Bacillaceae bacterium SM3,735,CRW_16S_B_12789,,
Bacillus sp. 'Mali 13',703,CRW_16S_B_9978,,
Paenibacillaceae bacterium SM11,676,CRW_16S_B_12790,,
Jeotgalibacillus alimentarius,721,CRW_16S_B_9979,Bacteria,Firmicutes
Bacillaceae bacterium SM15,534,CRW_16S_B_12791,,
Bacillus pumilus,683,CRW_16S_B_9980,Bacteria,Firmicutes
Bacillaceae bacterium SM18,634,CRW_16S_B_12793,,
Bacillus megaterium,772,CRW_16S_B_9982,Bacteria,Firmicutes
Bacillaceae bacterium SM19,673,CRW_16S_B_12794,,
Bacillus sp. CK39,398,CRW_16S_B_12795,,
Staphylococcus gallinarum,711,CRW_16S_B_9983,Bacteria,Firmicutes
,505,CRW_16S_NA_12805,,
Bacillus niacini,711,CRW_16S_B_9984,Bacteria,Firmicutes
,503,CRW_16S_NA_12806,,
Bacillus subtilis,644,CRW_16S_B_9985,Bacteria,Firmicutes
Bacillus niacini,644,CRW_16S_B_9986,Bacteria,Firmicutes
Geobacillus stearothermophilus,488,CRW_16S_B_12815,Bacteria,Firmicutes
Bacillus sp. 'Mali 223',673,CRW_16S_B_9987,,
Bacillus cereus,677,CRW_16S_B_12819,Bacteria,Firmicutes
Bacillus sp. 'Mali 230',570,CRW_16S_B_9988,,
Streptococcus halichoeri,455,CRW_16S_B_12867,Bacteria,Firmicutes
uncultured Bacilli bacterium,440,CRW_16S_B_9989,Bacteria,Firmicutes
Streptococcus oligofermentans,464,CRW_16S_B_12868,,
Streptococcus devriesei,420,CRW_16S_B_12869,Bacteria,Firmicutes
uncultured Streptococcus sp.,563,CRW_16S_B_10005,Bacteria,Firmicutes
Streptococcus dysgalactiae subsp. equisimilis,448,CRW_16S_B_12870,Bacteria,Firmicutes
uncultured Streptococcus sp.,681,CRW_16S_B_10006,Bacteria,Firmicutes
uncultured Bacillus sp.,636,CRW_16S_B_12886,Bacteria,Firmicutes
Staphylococcus sp. UST010620-004,703,CRW_16S_B_10007,,
Bacillus sp. UST020129-025,602,CRW_16S_B_10008,,
uncultured Bacillus sp.,454,CRW_16S_B_12887,Bacteria,Firmicutes
Bacillus sp. UST020129-009,635,CRW_16S_B_10009,,
Lactococcus lactis subsp. lactis,437,CRW_16S_B_12889,,
Lactococcus lactis subsp. lactis,470,CRW_16S_B_12890,,
Bacillus sp. UST020129-017,625,CRW_16S_B_10010,,
Bacillus sp. UST020129-005,563,CRW_16S_B_10011,,
Lactococcus lactis subsp. lactis,475,CRW_16S_B_12891,,
Lactococcus lactis subsp. lactis,481,CRW_16S_B_12892,,
Streptococcus iniae,654,CRW_16S_B_10014,Bacteria,Firmicutes
,675,CRW_16S_NA_12902,,
marine bacterium SIMO-1580,498,CRW_16S_B_10022,,
Bacillus sp. W2N1,660,CRW_16S_B_12914,,
marine bacterium SIMO-1597,508,CRW_16S_B_10023,,
Staphylococcus sp. A32,524,CRW_16S_B_12915,,
uncultured Bacillus sp.,420,CRW_16S_B_10025,Bacteria,Firmicutes
Staphylococcus sp. J6,503,CRW_16S_B_12999,,
Staphylococcus epidermidis,651,CRW_16S_B_10026,Bacteria,Firmicutes
Bacillus sp. Y19,680,CRW_16S_B_13000,,
