Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.order,Taxonomy.ENA.genus,Taxonomy.ENA.class,Taxonomy.ENA.family,Taxonomy.ENA.no rank 0,Taxonomy.ENA.unknown 0,Taxonomy.ENA.tribe,Taxonomy.ENA.species group,Taxonomy.ENA.suborder,Taxonomy.ENA.subgenus,Taxonomy.ENA.subclass
Tropheryma whipplei str. Twist,AE014184,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_364,--,Yes,Bacteria,Actinobacteria,Micrococcales,Tropheryma,,,,,,,,,
Porphyromonas gingivalis W83,AE015924,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_394,--,Yes,Bacteria,Bacteroidetes,Bacteroidales,Porphyromonas,Bacteroidia,Porphyromonadaceae,,,,,,,
Mycoplasma synoviae 53,AE017245,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_497,--,Yes,Bacteria,Tenericutes,,Mycoplasma,Mollicutes,Mycoplasmataceae,,,,,,,
Acholeplasma axanthum,AF005315,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_537,--,Yes,Bacteria,Tenericutes,Acholeplasmatales,Acholeplasma,Mollicutes,Acholeplasmataceae,,,,,,,
Actinobacillus seminis,AF013276,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_542,--,Yes,Bacteria,Proteobacteria,Pasteurellales,Actinobacillus,Gammaproteobacteria,Pasteurellaceae,,,,,,,
Campylobacter jejuni,AF074828,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_583,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
Campylobacter jejuni,AF074829,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_584,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
Campylobacter jejuni,AF074830,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_585,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
Campylobacter jejuni,AF074831,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_586,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
Campylobacter jejuni,AF074832,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_587,--,Yes,Bacteria,Proteobacteria,Campylobacterales,Campylobacter,Epsilonproteobacteria,Campylobacteraceae,,,,,,,
