Organism name,Length,Benchmark ID,Taxonomy.LTP.superkingdom,Taxonomy.LTP.phylum
uncultured Staphylococcus sp.,861,CRW_16S_B_9940,,
uncultured Staphylococcus sp.,857,CRW_16S_B_9941,,
uncultured Staphylococcus sp.,856,CRW_16S_B_9942,,
uncultured Staphylococcus sp.,856,CRW_16S_B_9943,,
uncultured Staphylococcus sp.,857,CRW_16S_B_9944,,
uncultured Staphylococcus sp.,829,CRW_16S_B_9945,,
uncultured Staphylococcus sp.,855,CRW_16S_B_9946,,
uncultured Staphylococcus sp.,857,CRW_16S_B_9947,,
uncultured Staphylococcus sp.,806,CRW_16S_B_9948,,
uncultured Staphylococcus sp.,805,CRW_16S_B_9949,,
uncultured Staphylococcus sp.,888,CRW_16S_B_9951,,
uncultured Staphylococcus sp.,891,CRW_16S_B_9952,,
uncultured Staphylococcus sp.,878,CRW_16S_B_9953,,
uncultured Staphylococcus sp.,895,CRW_16S_B_9954,,
uncultured Staphylococcus sp.,873,CRW_16S_B_9955,,
uncultured Staphylococcus sp.,857,CRW_16S_B_9956,,
uncultured Staphylococcus sp.,856,CRW_16S_B_9957,,
uncultured Staphylococcus sp.,840,CRW_16S_B_9958,,
uncultured Staphylococcus sp.,804,CRW_16S_B_9959,,
uncultured Staphylococcus sp.,803,CRW_16S_B_9960,,
uncultured low G+C Gram-positive bacterium,856,CRW_16S_B_9969,,
uncultured low G+C Gram-positive bacterium,856,CRW_16S_B_9970,,
Bacillus niacini,819,CRW_16S_B_9981,,
uncultured Bacillus sp.,916,CRW_16S_B_10061,,
uncultured Bacillus sp.,891,CRW_16S_B_10062,,
uncultured Bacillus sp.,889,CRW_16S_B_10063,,
uncultured Bacillus sp.,884,CRW_16S_B_10064,,
uncultured Bacillus sp.,916,CRW_16S_B_10065,,
uncultured Bacillus sp.,901,CRW_16S_B_10066,,
uncultured Bacillus sp.,901,CRW_16S_B_10067,,
uncultured Bacillus sp.,902,CRW_16S_B_10068,,
uncultured Bacillus sp.,901,CRW_16S_B_10069,,
uncultured Bacillus sp.,901,CRW_16S_B_10070,,
uncultured Bacillus sp.,906,CRW_16S_B_10071,,
uncultured Bacillus sp.,907,CRW_16S_B_10072,,
uncultured Bacillus sp.,901,CRW_16S_B_10073,,
