Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.order,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 2,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.class,Taxonomy.NCBI.family,Taxonomy.NCBI.phylum,Taxonomy.NCBI.subphylum,Taxonomy.NCBI.species group,Taxonomy.NCBI.tribe,Taxonomy.NCBI.species subgroup,Taxonomy.NCBI.suborder,Taxonomy.NCBI.no rank 5,Taxonomy.NCBI.unknown 3,Taxonomy.NCBI.subgenus,Taxonomy.NCBI.subclass
Tropheryma whipplei str. Twist,AE014184,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_364,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,unclassified Micrococcales,Tropheryma,Tropheryma whipplei,Tropheryma whipplei str. Twist,,,,,,,,,,,,
Porphyromonas gingivalis W83,AE015924,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_394,--,Yes,root,cellular organisms,Bacteria,FCB group,Bacteroidetes <phylum>,Porphyromonas gingivalis,Bacteroidales,Bacteroidetes/Chlorobi group,Porphyromonas,,Porphyromonas gingivalis W83,Bacteroidia,Porphyromonadaceae,,,,,,,,,,
Mycoplasma synoviae 53,AE017245,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_497,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Mycoplasma synoviae,,Mycoplasmatales,Mycoplasma synoviae 53,Mycoplasma,,,Mollicutes,Mycoplasmataceae,Tenericutes,,,,,,,,,
Acholeplasma axanthum,AF005315,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_537,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Acholeplasma axanthum,,Acholeplasmatales,,Acholeplasma,,,Mollicutes,Acholeplasmataceae,Tenericutes,,,,,,,,,
Actinobacillus seminis,AF013276,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_542,--,Yes,root,cellular organisms,Bacteria,,Actinobacillus seminis,,Pasteurellales,,Actinobacillus,,,Gammaproteobacteria,Pasteurellaceae,Proteobacteria,,,,,,,,,
Campylobacter jejuni,AF074828,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_583,--,Yes,root,cellular organisms,Bacteria,,Campylobacter jejuni,Campylobacter jejuni subsp. jejuni,Campylobacterales,,Campylobacter,,,Epsilonproteobacteria,Campylobacteraceae,Proteobacteria,delta/epsilon subdivisions,,,,,,,,
Campylobacter jejuni,AF074829,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_584,--,Yes,root,cellular organisms,Bacteria,,Campylobacter jejuni,Campylobacter jejuni subsp. jejuni,Campylobacterales,,Campylobacter,,,Epsilonproteobacteria,Campylobacteraceae,Proteobacteria,delta/epsilon subdivisions,,,,,,,,
Campylobacter jejuni,AF074830,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_585,--,Yes,root,cellular organisms,Bacteria,,Campylobacter jejuni,Campylobacter jejuni subsp. jejuni,Campylobacterales,,Campylobacter,,,Epsilonproteobacteria,Campylobacteraceae,Proteobacteria,delta/epsilon subdivisions,,,,,,,,
Campylobacter jejuni,AF074831,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_586,--,Yes,root,cellular organisms,Bacteria,,Campylobacter jejuni,Campylobacter jejuni subsp. jejuni,Campylobacterales,,Campylobacter,,,Epsilonproteobacteria,Campylobacteraceae,Proteobacteria,delta/epsilon subdivisions,,,,,,,,
Campylobacter jejuni,AF074832,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_587,--,Yes,root,cellular organisms,Bacteria,,Campylobacter jejuni,Campylobacter jejuni subsp. jejuni,Campylobacterales,,Campylobacter,,,Epsilonproteobacteria,Campylobacteraceae,Proteobacteria,delta/epsilon subdivisions,,,,,,,,
