Organism name,Length,Benchmark ID,Taxonomy.LTP.superkingdom,Taxonomy.LTP.phylum
Bacillus cereus,847,CRW_16S_B_10116,Bacteria,
Bacillus cereus,857,CRW_16S_B_10117,Bacteria,
Staphylococcus epidermidis,847,CRW_16S_B_10606,Bacteria,
Halobacillus salinus,904,CRW_16S_B_10614,Bacteria,
Halobacillus trueperi,910,CRW_16S_B_10619,Bacteria,
Bacillus subtilis,836,CRW_16S_B_10621,Bacteria,
Bacillus cereus,943,CRW_16S_B_10637,Bacteria,
Bacillus cereus,949,CRW_16S_B_10638,Bacteria,
Bacillus cereus,960,CRW_16S_B_10639,Bacteria,
Bacillus cereus,937,CRW_16S_B_10640,Bacteria,
Bacillus subtilis,961,CRW_16S_B_10642,Bacteria,
Bacillus subtilis,939,CRW_16S_B_10644,Bacteria,
Bacillus subtilis,939,CRW_16S_B_10645,Bacteria,
Bacillus subtilis,804,CRW_16S_B_10647,Bacteria,
Bacillus subtilis,804,CRW_16S_B_10649,Bacteria,
Bacillus subtilis,811,CRW_16S_B_10651,Bacteria,
Bacillus pumilus,809,CRW_16S_B_10658,Bacteria,
Bacillus pumilus,805,CRW_16S_B_10659,Bacteria,
Bacillus pumilus,956,CRW_16S_B_10660,Bacteria,
Bacillus pumilus,957,CRW_16S_B_10661,Bacteria,
Staphylococcus epidermidis,802,CRW_16S_B_10798,Bacteria,
Bacillus cereus,802,CRW_16S_B_10800,Bacteria,
Bacillus licheniformis,905,CRW_16S_B_11011,Bacteria,
Geobacillus stearothermophilus,994,CRW_16S_B_11570,Bacteria,
Bacillus subtilis,953,CRW_16S_B_11574,Bacteria,
Bacillus subtilis,853,CRW_16S_B_11752,Bacteria,
Bacillus cereus,885,CRW_16S_B_12031,Bacteria,
Geobacillus stearothermophilus,955,CRW_16S_B_12042,Bacteria,
Bacillus pumilus,849,CRW_16S_B_12866,Bacteria,
Paenibacillus polymyxa,854,CRW_16S_B_13045,Bacteria,
Paenibacillus polymyxa,923,CRW_16S_B_13046,Bacteria,
Paenibacillus polymyxa,910,CRW_16S_B_13047,Bacteria,
Paenibacillus polymyxa,910,CRW_16S_B_13048,Bacteria,
Staphylococcus pasteuri,929,CRW_16S_B_13049,Bacteria,
Staphylococcus pasteuri,871,CRW_16S_B_13050,Bacteria,
Staphylococcus epidermidis,837,CRW_16S_B_13345,Bacteria,
Staphylococcus epidermidis,877,CRW_16S_B_13347,Bacteria,
Bacillus cereus,925,CRW_16S_B_13463,Bacteria,
Bacillus pumilus,897,CRW_16S_B_13496,Bacteria,
Staphylococcus epidermidis,949,CRW_16S_B_13499,Bacteria,
Bacillus pumilus,967,CRW_16S_B_13797,Bacteria,
Bacillus pumilus,886,CRW_16S_B_14864,Bacteria,
Staphylococcus epidermidis,846,CRW_16S_B_14887,Bacteria,
Bacillus cereus,992,CRW_16S_B_14892,Bacteria,
Bacillus licheniformis,813,CRW_16S_B_14988,Bacteria,
Staphylococcus lugdunensis,825,CRW_16S_B_15023,Bacteria,
Staphylococcus lugdunensis,825,CRW_16S_B_15024,Bacteria,
Staphylococcus lugdunensis,825,CRW_16S_B_15025,Bacteria,
Staphylococcus lugdunensis,825,CRW_16S_B_15026,Bacteria,
Staphylococcus lugdunensis,825,CRW_16S_B_15027,Bacteria,
Staphylococcus lugdunensis,825,CRW_16S_B_15028,Bacteria,
Staphylococcus lugdunensis,825,CRW_16S_B_15029,Bacteria,
Staphylococcus lugdunensis,825,CRW_16S_B_15030,Bacteria,
Staphylococcus lugdunensis,825,CRW_16S_B_15031,Bacteria,
Staphylococcus lugdunensis,825,CRW_16S_B_15032,Bacteria,
Streptococcus agalactiae,987,CRW_16S_B_15345,Bacteria,
Streptococcus pneumoniae,986,CRW_16S_B_15381,Bacteria,
Staphylococcus epidermidis,989,CRW_16S_B_15434,Bacteria,
Lachnospira multipara,977,CRW_16S_B_16343,Bacteria,
Moorella thermoacetica,873,CRW_16S_B_16353,Bacteria,
Thermoanaerobacter thermohydrosulfuricus,868,CRW_16S_B_16442,Bacteria,
Thermoanaerobacterium thermosulfurigenes,930,CRW_16S_B_16454,Bacteria,
Brachybacterium paraconglomeratum,885,CRW_16S_B_1973,Bacteria,Actinobacteria
Brachybacterium paraconglomeratum,885,CRW_16S_B_1974,Bacteria,Actinobacteria
Mycobacterium asiaticum,915,CRW_16S_B_2025,Bacteria,Actinobacteria
Mycobacterium gordonae,917,CRW_16S_B_2027,Bacteria,Actinobacteria
Mycobacterium malmoense,915,CRW_16S_B_2028,Bacteria,Actinobacteria
Mesoplasma seiffertii,863,CRW_16S_B_16875,Bacteria,
Corynebacterium xerosis,937,CRW_16S_B_2317,Bacteria,Actinobacteria
Mobiluncus mulieris,878,CRW_16S_B_3927,Bacteria,Actinobacteria
Mycobacterium leprae,820,CRW_16S_B_4051,Bacteria,Actinobacteria
Mycobacterium xenopi,942,CRW_16S_B_4109,Bacteria,Actinobacteria
Acidocella facilis,922,CRW_16S_B_4908,Bacteria,
Acidiphilium angustum,977,CRW_16S_B_4910,Bacteria,
Acidiphilium cryptum,968,CRW_16S_B_4913,Bacteria,
Anoxybacillus gonensis,1355,CRW_16S_B_10012,Bacteria,
Bacillus subtilis,1344,CRW_16S_B_10015,Bacteria,
Bacillus pumilus,1334,CRW_16S_B_10016,Bacteria,
Bacillus pumilus,1229,CRW_16S_B_10017,Bacteria,
Bacillus pumilus,1346,CRW_16S_B_10019,Bacteria,
Bacillus pumilus,1347,CRW_16S_B_10020,Bacteria,
Bacillus pumilus,1356,CRW_16S_B_10021,Bacteria,
Streptococcus pyogenes,1367,CRW_16S_B_10027,Bacteria,
Bacillus cereus,1366,CRW_16S_B_10046,Bacteria,
Bacillus cereus,1371,CRW_16S_B_10047,Bacteria,
Bacillus cereus,1257,CRW_16S_B_10048,Bacteria,
Bacillus subtilis,1355,CRW_16S_B_10049,Bacteria,
Bacillus subtilis,1392,CRW_16S_B_10050,Bacteria,
Bacillus pumilus,1394,CRW_16S_B_10080,Bacteria,
Bacillus subtilis,1388,CRW_16S_B_10096,Bacteria,
Bacillus licheniformis,1378,CRW_16S_B_10099,Bacteria,
Bacillus subtilis,1390,CRW_16S_B_10100,Bacteria,
Staphylococcus epidermidis,1386,CRW_16S_B_10111,Bacteria,
Bacillus cereus,1037,CRW_16S_B_10118,Bacteria,
Streptococcus mitis,1025,CRW_16S_B_10190,Bacteria,
Bacillus licheniformis,1024,CRW_16S_B_10238,Bacteria,
Lactococcus lactis subsp. cremoris,1296,CRW_16S_B_10367,Bacteria,
Bacillus licheniformis,1185,CRW_16S_B_10369,Bacteria,
Bacillus licheniformis,1185,CRW_16S_B_10370,Bacteria,
Bacillus licheniformis,1185,CRW_16S_B_10374,Bacteria,
Bacillus licheniformis,1185,CRW_16S_B_10375,Bacteria,
Bacillus licheniformis,1185,CRW_16S_B_10376,Bacteria,
Staphylococcus pasteuri,1212,CRW_16S_B_10416,Bacteria,
Streptococcus iniae,1357,CRW_16S_B_10473,Bacteria,
Streptococcus suis,1013,CRW_16S_B_10478,Bacteria,
Streptococcus suis,1011,CRW_16S_B_10479,Bacteria,
Streptococcus suis,1009,CRW_16S_B_10480,Bacteria,
Streptococcus suis,1010,CRW_16S_B_10481,Bacteria,
Streptococcus suis,1012,CRW_16S_B_10482,Bacteria,
Bacillus cereus,1372,CRW_16S_B_10593,Bacteria,
Bacillus licheniformis,1360,CRW_16S_B_10594,Bacteria,
Bacillus anthracis,1283,CRW_16S_B_10611,Bacteria,
Staphylococcus epidermidis,1372,CRW_16S_B_10765,Bacteria,
Lactobacillus gasseri,1394,CRW_16S_B_10767,Bacteria,
Bacillus cereus,1390,CRW_16S_B_10784,Bacteria,
Bacillus licheniformis,1325,CRW_16S_B_10797,Bacteria,
Nocardia elegans,1381,CRW_16S_B_1097,Bacteria,Actinobacteria
Streptococcus gallolyticus,1354,CRW_16S_B_11012,Bacteria,
Streptococcus gallolyticus,1362,CRW_16S_B_11013,Bacteria,
Streptococcus gallolyticus,1393,CRW_16S_B_11014,Bacteria,
Streptococcus gallolyticus,1391,CRW_16S_B_11015,Bacteria,
Streptococcus gallolyticus,1375,CRW_16S_B_11016,Bacteria,
Streptococcus sanguinis,1198,CRW_16S_B_11162,Bacteria,
Streptococcus pyogenes,1198,CRW_16S_B_11164,Bacteria,
Bacillus subtilis,1396,CRW_16S_B_11198,Bacteria,
Bacillus cereus,1205,CRW_16S_B_11219,Bacteria,
Bacillus cereus,1373,CRW_16S_B_11230,Bacteria,
Bacillus cereus,1395,CRW_16S_B_11231,Bacteria,
Brevibacillus brevis,1389,CRW_16S_B_11336,Bacteria,
Bacillus cereus,1340,CRW_16S_B_11357,Bacteria,
Bacillus cereus,1361,CRW_16S_B_11361,Bacteria,
Bacillus cereus,1361,CRW_16S_B_11362,Bacteria,
Sporosarcina globispora,1384,CRW_16S_B_11424,Bacteria,
Carnobacterium mobile,1386,CRW_16S_B_11740,Bacteria,
Caryophanon latum,1216,CRW_16S_B_11744,Bacteria,
Bacillus subtilis,1337,CRW_16S_B_11768,Bacteria,
Streptomyces olivaceus,1242,CRW_16S_B_1193,Bacteria,Actinobacteria
Paenibacillus polymyxa,1300,CRW_16S_B_11894,Bacteria,
Acidothermus cellulolyticus,1277,CRW_16S_B_1197,Bacteria,Actinobacteria
Bacillus cereus,1366,CRW_16S_B_11914,Bacteria,
Bacillus pumilus,1369,CRW_16S_B_11926,Bacteria,
Actinomyces bovis,1368,CRW_16S_B_1210,Bacteria,Actinobacteria
Actinomyces israelii,1145,CRW_16S_B_1219,Bacteria,Actinobacteria
Actinomyces israelii,1386,CRW_16S_B_1222,Bacteria,Actinobacteria
Actinomyces naeslundii,1378,CRW_16S_B_1224,Bacteria,Actinobacteria
Actinomyces naeslundii,1376,CRW_16S_B_1226,Bacteria,Actinobacteria
Actinomyces slackii,1242,CRW_16S_B_1235,Bacteria,Actinobacteria
Actinomyces viscosus,1351,CRW_16S_B_1239,Bacteria,Actinobacteria
Actinopolyspora halophila,1330,CRW_16S_B_1243,Bacteria,Actinobacteria
Actinopolyspora mortivallis,1362,CRW_16S_B_1244,Bacteria,Actinobacteria
Streptococcus suis,1258,CRW_16S_B_12770,Bacteria,
Staphylococcus caprae,1400,CRW_16S_B_12773,Bacteria,
Micrococcus luteus,1223,CRW_16S_B_1285,Bacteria,Actinobacteria
Micrococcus luteus,1222,CRW_16S_B_1286,Bacteria,Actinobacteria
Bacillus pumilus,1286,CRW_16S_B_12863,Bacteria,
Bacillus thuringiensis,1393,CRW_16S_B_12943,Bacteria,
Bacillus thuringiensis,1400,CRW_16S_B_12958,Bacteria,
Bacillus thuringiensis,1399,CRW_16S_B_12962,Bacteria,
Bacillus subtilis,1186,CRW_16S_B_12987,Bacteria,
Bacillus cereus,1396,CRW_16S_B_13009,Bacteria,
Bacillus pumilus,1400,CRW_16S_B_13011,Bacteria,
Bacillus pumilus,1397,CRW_16S_B_13014,Bacteria,
Enterococcus faecalis,1390,CRW_16S_B_13030,Bacteria,
Bacillus thuringiensis,1391,CRW_16S_B_13162,Bacteria,
Bacillus cereus,1396,CRW_16S_B_13166,Bacteria,
