Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.phylum,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.species group,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.genus,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.unknown 2
Bacillus cereus,AY224379,1554,602,952,Yes,1,16S,3,([)(((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))()](((()((()())((()())(()()))))()())())()(),([)((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(())](((((((()(((()()))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),([)([(]))([(]))],No,CRW,--,CRW_16S_B_9991,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus cereus group,Bacillus cereus,,,,
Bacillus cereus,AY224380,1554,602,952,Yes,1,16S,3,([)(((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))()](((()((()())((()())(()()))))()())())()(),([)((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(())](((((((()(((()()))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),([)([(]))([(]))],No,CRW,--,CRW_16S_B_9992,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus cereus group,Bacillus cereus,,,,
Bacillus cereus,AY224381,1554,602,952,Yes,1,16S,3,([)(((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))()](((()((()())((()())(()()))))()())())()(),([)((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(())](((((((()(((()()))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),([)([(]))([(]))],No,CRW,--,CRW_16S_B_9993,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus cereus group,Bacillus cereus,,,,
Bacillus cereus,AY224381,1554,602,952,Yes,1,16S,3,([)(((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))()](((()((()())((()())(()()))))()())())()(),([)((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(())](((((((()(((()()))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),([)([(]))([(]))],No,CRW,--,CRW_16S_B_9994,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus cereus group,Bacillus cereus,,,,
Bacillus cereus,AY224382,1554,602,952,Yes,1,16S,3,([)(((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))()](((()((()())((()())(()()))))()())())()(),([)((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(())](((((((()(((()()))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),([)([(]))([(]))],No,CRW,--,CRW_16S_B_9995,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus cereus group,Bacillus cereus,,,,
Bacillus cereus,AY224383,1554,602,952,Yes,1,16S,3,([)(((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))()](((()((()())((()())(()()))))()())())()(),([)((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(())](((((((()(((()()))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),([)([(]))([(]))],No,CRW,--,CRW_16S_B_9996,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus cereus group,Bacillus cereus,,,,
Bacillus cereus,AY224384,1554,602,952,Yes,1,16S,3,([)(((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))()](((()((()())((()())(()()))))()())())()(),([)((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(())](((((((()(((()()))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),([)([(]))([(]))],No,CRW,--,CRW_16S_B_9997,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus cereus group,Bacillus cereus,,,,
Bacillus cereus,AY224384,1554,602,952,Yes,1,16S,3,([)(((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))()](((()((()())((()())(()()))))()())())()(),([)((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(())](((((((()(((()()))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),([)([(]))([(]))],No,CRW,--,CRW_16S_B_9998,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus cereus group,Bacillus cereus,,,,
Bacillus cereus,AY224385,1554,602,952,Yes,1,16S,3,([)(((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))()](((()((()())((()())(()()))))()())())()(),([)((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(())](((((((()(((()()))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),([)([(]))([(]))],No,CRW,--,CRW_16S_B_9999,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus cereus group,Bacillus cereus,,,,
Bacillus cereus,AY224385,1554,602,952,Yes,1,16S,3,([)(((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))()](((()((()())((()())(()()))))()())())()(),([)((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(())](((((((()(((()()))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),([)([(]))([(]))],No,CRW,--,CRW_16S_B_10000,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus cereus group,Bacillus cereus,,,,
Bacillus cereus,AY224386,1554,602,952,Yes,1,16S,3,([)(((()((()()())()())()())())()()([(])))([(()(()()))()(()(])))()](((()((()())((()())(()()))))()())())()(),([)((((((((((())))(((((())()())))(((())))(()))()())))((()))))(())(((())))([((])))))([((((((())))(((((()))(())))))))((()))(()(])))(())](((((((()(((()()))((((((()())(((()))())))))))))(((())))(()))()))))((((((()))))))(),([)([(]))([(]))],No,CRW,--,CRW_16S_B_10001,--,Yes,root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus cereus group,Bacillus cereus,,,,
