Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.phylum,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0,Taxonomy.SILVA.unknown 4,Taxonomy.SILVA.subphylum,Taxonomy.SILVA.subclass,Taxonomy.SILVA.kingdom,Taxonomy.SILVA.subkingdom,Taxonomy.SILVA.no rank 1,Taxonomy.SILVA.no rank 2,Taxonomy.SILVA.unknown 5,Taxonomy.SILVA.no rank 3,Taxonomy.SILVA.unknown 6,Taxonomy.SILVA.infraclass,Taxonomy.SILVA.no rank 4,Taxonomy.SILVA.no rank 5,Taxonomy.SILVA.superclass,Taxonomy.SILVA.unknown 7,Taxonomy.SILVA.suborder,Taxonomy.SILVA.superorder,Taxonomy.SILVA.no rank 6
Archaeoglobus fulgidus DSM 4304,AE000782,124,48,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_1,--,Yes,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus solfataricus P2,AE006649,121,45,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_2,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanopyrus kandleri AV19,AE010349,133,57,76,No,0,5S,0,(()()),(((((()))))((()))),--,No,CRW,--,CRW_5S_A_3,--,Yes,Archaea,,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Euryarchaeota,,,,,,,,,,,,,,,,,,,,,,
Haloquadratum walsbyi,AM180088,139,63,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_4,--,Yes,Archaea,Halobacterota,Halobacteria,,Haloferacaceae,Haloquadratum,,Halobacterales,,,,,,,,,,,,,,,,,,,,,
Haloquadratum walsbyi,AM180088,139,63,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_5,--,Yes,Archaea,Halobacterota,Halobacteria,,Haloferacaceae,Haloquadratum,,Halobacterales,,,,,,,,,,,,,,,,,,,,,
Pyrococcus horikoshii OT3,AP000006,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_6,--,Yes,Archaea,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Euryarchaeota,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus tokodaii str. 7,AP000986,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_7,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,126,50,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_N_8,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,126,50,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_N_9,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeropyrum pernix,AP000060,137,61,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_10,--,Yes,Archaea,,Thermoprotei,Desulfurococcales,Acidilobaceae,Aeropyrum,Crenarchaeota,,,,,,,,,,,,,,,,,,,,,,
Archaeoglobus fulgidus DSM 4304,AE001101,124,48,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_11,--,Yes,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,,,,,,,,,,,,,,,,,,,,,,,
Pyrococcus horikoshii OT3,BA000001,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_12,--,Yes,Archaea,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Euryarchaeota,,,,,,,,,,,,,,,,,,,,,,
Aeropyrum pernix K1,BA000002,119,55,64,No,0,5S,0,()(),((()))((())),--,No,CRW,--,CRW_5S_A_13,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfolobus tokodaii str. 7,BA000023,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_14,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
