Organism name,Length,Benchmark ID,Taxonomy.LTP.superkingdom,Taxonomy.LTP.phylum
Staphylococcus xylosus,751,CRW_16S_B_9976,Bacteria,
Jeotgalibacillus alimentarius,721,CRW_16S_B_9979,Bacteria,
Bacillus pumilus,683,CRW_16S_B_9980,Bacteria,
Staphylococcus gallinarum,711,CRW_16S_B_9983,Bacteria,
Bacillus subtilis,644,CRW_16S_B_9985,Bacteria,
Streptococcus iniae,654,CRW_16S_B_10014,Bacteria,
Staphylococcus epidermidis,651,CRW_16S_B_10026,Bacteria,
Staphylococcus warneri,536,CRW_16S_B_10031,Bacteria,
Staphylococcus warneri,536,CRW_16S_B_10032,Bacteria,
Staphylococcus warneri,536,CRW_16S_B_10033,Bacteria,
Bacillus cereus,629,CRW_16S_B_10044,Bacteria,
Bacillus pumilus,705,CRW_16S_B_10119,Bacteria,
Bacillus pumilus,553,CRW_16S_B_10146,Bacteria,
Enterococcus faecalis,312,CRW_16S_B_10224,Bacteria,
Staphylococcus pasteuri,499,CRW_16S_B_10258,Bacteria,
Bacillus licheniformis,588,CRW_16S_B_10274,Bacteria,
Staphylococcus epidermidis,551,CRW_16S_B_10276,Bacteria,
Bacillus pumilus,725,CRW_16S_B_10333,Bacteria,
Bacillus cereus,349,CRW_16S_B_10334,Bacteria,
Staphylococcus haemolyticus,459,CRW_16S_B_10360,Bacteria,
Streptococcus vestibularis,780,CRW_16S_B_10471,Bacteria,
Bacillus cereus,400,CRW_16S_B_10495,Bacteria,
Staphylococcus epidermidis,392,CRW_16S_B_10496,Bacteria,
Staphylococcus epidermidis,469,CRW_16S_B_10497,Bacteria,
Bacillus subtilis,559,CRW_16S_B_10584,Bacteria,
Lactococcus lactis subsp. lactis,614,CRW_16S_B_10588,Bacteria,
Bacillus cereus,742,CRW_16S_B_10618,Bacteria,
Halobacillus litoralis,796,CRW_16S_B_10622,Bacteria,
Staphylococcus aureus subsp. anaerobius,464,CRW_16S_B_10689,Bacteria,
Staphylococcus aureus subsp. aureus,464,CRW_16S_B_10690,Bacteria,
Staphylococcus aureus subsp. aureus,464,CRW_16S_B_10691,Bacteria,
Staphylococcus aureus subsp. aureus,464,CRW_16S_B_10692,Bacteria,
