Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.kingdom,Taxonomy.ENA.no rank 0,Taxonomy.ENA.phylum,Taxonomy.ENA.subphylum,Taxonomy.ENA.class,Taxonomy.ENA.subclass,Taxonomy.ENA.infraclass,Taxonomy.ENA.unknown 0,Taxonomy.ENA.order,Taxonomy.ENA.suborder,Taxonomy.ENA.infraorder,Taxonomy.ENA.superfamily,Taxonomy.ENA.family,Taxonomy.ENA.genus,Taxonomy.ENA.subgenus,Taxonomy.ENA.no rank 1,Taxonomy.ENA.no rank 2,Taxonomy.ENA.superorder,Taxonomy.ENA.parvorder,Taxonomy.ENA.no rank 3,Taxonomy.ENA.no rank 4,Taxonomy.ENA.no rank 5,Taxonomy.ENA.no rank 6,Taxonomy.ENA.no rank 7,Taxonomy.ENA.subfamily,Taxonomy.ENA.tribe,Taxonomy.ENA.unknown 1,Taxonomy.ENA.subtribe,Taxonomy.ENA.subkingdom,Taxonomy.ENA.superclass,Taxonomy.ENA.subcohort,Taxonomy.ENA.section,Taxonomy.ENA.no rank 8,Taxonomy.ENA.no rank 9,Taxonomy.ENA.no rank 10,Taxonomy.ENA.cohort
Drosophila melanogaster (fruit fly),AC009461,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_2,--,Yes,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophila,Sophophora,,,,,,,,,,,,,,,,,,,,,
Homo sapiens (human),AC013472,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_3,--,Yes,Eukaryota,Metazoa,Vertebrata,Chordata,Craniata,Mammalia,,,,Primates,Haplorrhini,,,Hominidae,Homo,,Euteleostomi,Eutheria,Euarchontoglires,Catarrhini,,,,,,,,,,,,,,,,,
Homo sapiens (human),AL121936,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_4,--,Yes,Eukaryota,Metazoa,Vertebrata,Chordata,Craniata,Mammalia,,,,Primates,Haplorrhini,,,Hominidae,Homo,,Euteleostomi,Eutheria,Euarchontoglires,Catarrhini,,,,,,,,,,,,,,,,,
Chlorella vulgaris,AB001684,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_7,--,Yes,Eukaryota,Viridiplantae,,Chlorophyta,,Trebouxiophyceae,,,,Chlorellales,,,,Chlorellaceae,Chlorella,,,,,,,,,,,,,,,,,,,,,,
Cyanidioschyzon merolae strain 10D,AB002583,72,30,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_8,--,Yes,Eukaryota,,,Rhodophyta,,Bangiophyceae,,,,Cyanidiales,,,,Cyanidiaceae,Cyanidioschyzon,,,,,,,,,,,,,,,,,,,,,,
Heterosigma akashiwo,AB181955,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_82,--,Yes,Eukaryota,,Stramenopiles,,,Raphidophyceae,,,,Chattonellales,,,,Chattonellaceae,Heterosigma,,,,,,,,,,,,,,,,,,,,,,
Heterosigma akashiwo,AB181956,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_83,--,Yes,Eukaryota,,Stramenopiles,,,Raphidophyceae,,,,Chattonellales,,,,Chattonellaceae,Heterosigma,,,,,,,,,,,,,,,,,,,,,,
Heterosigma akashiwo,AB181957,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_84,--,Yes,Eukaryota,,Stramenopiles,,,Raphidophyceae,,,,Chattonellales,,,,Chattonellaceae,Heterosigma,,,,,,,,,,,,,,,,,,,,,,
Heterosigma akashiwo,AB181958,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_85,--,Yes,Eukaryota,,Stramenopiles,,,Raphidophyceae,,,,Chattonellales,,,,Chattonellaceae,Heterosigma,,,,,,,,,,,,,,,,,,,,,,
Nicotiana tomentosiformis,AB240139,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_E_103,--,Yes,Eukaryota,Viridiplantae,Embryophyta,Streptophyta,,,,,Magnoliophyta,Solanales,,,,Solanaceae,Nicotiana,,Tracheophyta,Spermatophyta,,,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Nicotianoideae,Nicotianeae,,,,,,,,,,
