Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2
Bradyrhizobium japonicum,AB100740,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_57,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,
Bradyrhizobium japonicum,AB100741,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_58,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,
Bradyrhizobium elkanii,AB100742,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_59,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,
Bradyrhizobium japonicum,AB100743,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_60,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,
Bradyrhizobium elkanii,AB100744,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_61,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,
Bradyrhizobium elkanii,AB100745,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_62,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,
Bradyrhizobium japonicum,AB100746,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_63,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,
Bradyrhizobium elkanii,AB100747,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_64,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,
Bradyrhizobium elkanii,AB100748,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_65,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,
Bradyrhizobium japonicum,AB100750,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_67,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,
Bradyrhizobium japonicum,AB100751,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_68,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,
Bradyrhizobium japonicum,AB100752,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_69,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,
Bradyrhizobium japonicum,AB100753,77,35,42,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_70,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,,
