Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.GTDB.Classified,Taxonomy.GTDB.domain,Taxonomy.GTDB.phylum,Taxonomy.GTDB.class,Taxonomy.GTDB.order,Taxonomy.GTDB.family,Taxonomy.GTDB.genus
Archaeoglobus fulgidus DSM 4304,AE000782,124,48,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_1,--,Yes,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Sulfolobus solfataricus P2,AE006649,121,45,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_2,--,No,,,,,,
Methanopyrus kandleri AV19,AE010349,133,57,76,No,0,5S,0,(()()),(((((()))))((()))),--,No,CRW,--,CRW_5S_A_3,--,Yes,Archaea,Methanobacteriota_A,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus
Haloquadratum walsbyi,AM180088,139,63,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_4,--,Yes,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum
Haloquadratum walsbyi,AM180088,139,63,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_5,--,Yes,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum
Pyrococcus horikoshii OT3,AP000006,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_6,--,Yes,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Sulfolobus tokodaii str. 7,AP000986,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_7,--,No,,,,,,
null,,126,50,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_N_8,--,No,,,,,,
null,,126,50,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_N_9,--,No,,,,,,
Aeropyrum pernix,AP000060,137,61,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_10,--,Yes,Archaea,Thermoproteota,Thermoproteia,Sulfolobales,Acidilobaceae,Aeropyrum
Archaeoglobus fulgidus DSM 4304,AE001101,124,48,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_11,--,Yes,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Pyrococcus horikoshii OT3,BA000001,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_12,--,Yes,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Aeropyrum pernix K1,BA000002,119,55,64,No,0,5S,0,()(),((()))((())),--,No,CRW,--,CRW_5S_A_13,--,Yes,Archaea,Thermoproteota,Thermoproteia,Sulfolobales,Acidilobaceae,Aeropyrum
Sulfolobus tokodaii str. 7,BA000023,126,50,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_14,--,No,,,,,,
Pyrococcus abyssi,AJ248284,122,50,72,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_15,--,No,,,,,,
Pyrococcus abyssi,AJ248285,122,58,64,No,0,5S,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_A_16,--,No,,,,,,
Methanospirillum hungatei JF-1,CP000254,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_17,--,Yes,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanospirillum hungatei JF-1,CP000254,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_18,--,Yes,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanospirillum hungatei JF-1,CP000254,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_19,--,Yes,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanospirillum hungatei JF-1,CP000254,122,46,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_20,--,Yes,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanosaeta thermophila PT,CP000477,116,40,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_21,--,No,,,,,,
Methanosaeta thermophila PT,CP000477,116,40,76,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_A_22,--,No,,,,,,
Hyperthermus butylicus DSM 5456,CP000493,130,54,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_23,--,Yes,Archaea,Thermoproteota,Thermoproteia,Sulfolobales,Pyrodictiaceae,Hyperthermus
Staphylothermus marinus F1,CP000575,115,39,76,No,0,5S,0,(()()),(((()))((()))),--,No,CRW,--,CRW_5S_A_24,--,Yes,Archaea,Thermoproteota,Thermoproteia,Sulfolobales,Desulfurococcaceae,Staphylothermus
