Organism name,Length,Benchmark ID,Taxonomy.LTP.superkingdom,Taxonomy.LTP.phylum
Brachybacterium paraconglomeratum,885,CRW_16S_B_1973,Bacteria,Actinobacteria
Brachybacterium paraconglomeratum,885,CRW_16S_B_1974,Bacteria,Actinobacteria
Mycobacterium asiaticum,915,CRW_16S_B_2025,Bacteria,Actinobacteria
Mycobacterium gordonae,917,CRW_16S_B_2027,Bacteria,Actinobacteria
Mycobacterium malmoense,915,CRW_16S_B_2028,Bacteria,Actinobacteria
Corynebacterium xerosis,937,CRW_16S_B_2317,Bacteria,Actinobacteria
Mobiluncus mulieris,878,CRW_16S_B_3927,Bacteria,Actinobacteria
Mycobacterium leprae,820,CRW_16S_B_4051,Bacteria,Actinobacteria
Mycobacterium xenopi,942,CRW_16S_B_4109,Bacteria,Actinobacteria
Nocardia elegans,1381,CRW_16S_B_1097,Bacteria,Actinobacteria
Streptomyces olivaceus,1242,CRW_16S_B_1193,Bacteria,Actinobacteria
Acidothermus cellulolyticus,1277,CRW_16S_B_1197,Bacteria,Actinobacteria
Actinomyces bovis,1368,CRW_16S_B_1210,Bacteria,Actinobacteria
Actinomyces israelii,1145,CRW_16S_B_1219,Bacteria,Actinobacteria
Actinomyces israelii,1386,CRW_16S_B_1222,Bacteria,Actinobacteria
Actinomyces naeslundii,1378,CRW_16S_B_1224,Bacteria,Actinobacteria
Actinomyces naeslundii,1376,CRW_16S_B_1226,Bacteria,Actinobacteria
Actinomyces slackii,1242,CRW_16S_B_1235,Bacteria,Actinobacteria
Actinomyces viscosus,1351,CRW_16S_B_1239,Bacteria,Actinobacteria
Actinopolyspora halophila,1330,CRW_16S_B_1243,Bacteria,Actinobacteria
Actinopolyspora mortivallis,1362,CRW_16S_B_1244,Bacteria,Actinobacteria
Micrococcus luteus,1223,CRW_16S_B_1285,Bacteria,Actinobacteria
Micrococcus luteus,1222,CRW_16S_B_1286,Bacteria,Actinobacteria
Mycobacterium goodii,1375,CRW_16S_B_1347,Bacteria,Actinobacteria
Streptomyces drozdowiczii,1191,CRW_16S_B_1348,Bacteria,Actinobacteria
Micrococcus luteus,1325,CRW_16S_B_1354,Bacteria,Actinobacteria
