Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.class,Taxonomy.ENA.order,Taxonomy.ENA.family,Taxonomy.ENA.genus,Taxonomy.ENA.no rank 0,Taxonomy.ENA.subclass,Taxonomy.ENA.unknown 0
Bradyrhizobium japonicum,AF338828,67,37,30,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_B_883,--,Yes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,
Carnobacterium gallinarum,AF374287,63,35,28,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_B_951,--,Yes,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,,,
Thermotoga petrophila,AJ872269,64,36,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_1558,--,Yes,Bacteria,Thermotogae,,Thermotogales,Thermotogaceae,Thermotoga,,,
uncultured Acidobacteria bacterium,AY281356,69,31,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2103,--,Yes,Bacteria,Acidobacteria,,,,,environmental samples,,
Xylella fastidiosa,AY388465,67,37,30,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2135,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,,
Borrelia japonica,AY836548,64,40,24,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2421,--,Yes,Bacteria,Spirochaetes,,Spirochaetales,Borreliaceae,Borreliella,,,
uncultured gamma proteobacterium,AY934325,70,30,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2884,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,,,,environmental samples,,
uncultured Marinobacter sp.,AY934352,68,28,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_2907,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,environmental samples,,
Bacillus subtilis,AB002150,69,29,40,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_B_7995,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,
Actinobacillus seminis,AF013275,69,31,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8326,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,,,
Vibrio parahaemolyticus,AY245226,70,30,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8789,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,,
Vibrio parahaemolyticus,AY245232,70,30,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8793,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,,
Vibrio parahaemolyticus,AY245237,70,30,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8796,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,,
Bacillus subtilis,L23497,68,30,38,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_8971,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,
