Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.phylum,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0,Taxonomy.SILVA.unknown 4
Acinetobacter genomosp. 13,U60281,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,,,,,
Prevotella ruminicola,AB003402,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9,--,Yes,Bacteria,,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Bacteroidota,,,,,
Xanthomonas campestris,AB004282,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,,
Xanthomonas campestris,AB004283,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,,
Xanthomonas campestris,AB004284,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_20,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,,
Xanthomonas campestris,AB004285,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_21,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,,
Xanthomonas campestris,AB004286,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,,
Xanthomonas campestris,AB004287,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,,
Xanthomonas campestris,AB004288,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_24,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,,
Xanthomonas campestris,AB004289,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_25,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,,
Bacillus halodurans,AB013373,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_30,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,
Bacillus halodurans,AB013377,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_31,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,
Bacillus halodurans,AB031211,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_35,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,
Bacillus halodurans,AB031211,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_36,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,
Bacillus halodurans,AB031214,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_37,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,,,,,
Vibrio parahaemolyticus,AB041848,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_41,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,,,,,,
Vibrio parahaemolyticus,AB041850,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_42,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,,,,,,
Vibrio parahaemolyticus,AB041851,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_43,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,,,,,,
Vibrio vulnificus,AB073875,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_49,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,,,,,,
Vibrio vulnificus,AB073877,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_50,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,,,,,,
Vibrio vulnificus,AB073879,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_51,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,,,,,,
Campylobacter lari,AB211985,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_86,--,Yes,Bacteria,,,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacterota,Campylobacteria,,,,
Tuberibacillus calidus,AB231788,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_87,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Tuberibacillus,,,,,,
Sporolactobacillus terrae,AB231797,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_88,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Sporolactobacillus,,,,,,
Halobacillus sp. IS-Hb2,AB243759,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_105,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,,,,,
Halobacillus sp. IS-Hb2,AB243760,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_106,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,,,,,
Halobacillus trueperi,AB243768,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_111,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,,,,,
Halobacillus trueperi,AB243769,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_112,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,,,,,
Halobacillus litoralis,AB243772,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_113,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,,,,,
Halobacillus salinus,AB243776,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_114,--,Yes,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,,,,,
Taylorella asinigenitalis,AB259167,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_158,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,,,,,,
Acinetobacter baumannii,U60279,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_183,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,,,,,
Acinetobacter calcoaceticus,U60278,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_227,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,,,,,
Xylella fastidiosa 9a5c,AE003849,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_242,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,,,,,
Xylella fastidiosa 9a5c,AE003849,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_243,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,,,,,
Xylella fastidiosa 9a5c,AE003849,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_244,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,,,,,
Pseudomonas aeruginosa PAO1,AE004091,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_250,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,
Shigella flexneri 2a str. 301,AE005674,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_267,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella flexneri 2a str. 301,AE005674,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_268,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella flexneri 2a str. 301,AE005674,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_269,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella flexneri 2a str. 301,AE005674,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_270,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Xylella fastidiosa Temecula1,AE009442,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_303,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,,,,,
Xylella fastidiosa Temecula1,AE009442,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_304,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,,,,,
Xylella fastidiosa Temecula1,AE009442,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_305,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,,,,,,
Shigella flexneri 2a str. 2457T,AE014073,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_345,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella flexneri 2a str. 2457T,AE014073,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_346,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella flexneri 2a str. 2457T,AE014073,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_347,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
Shigella flexneri 2a str. 2457T,AE014073,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_348,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Escherichia-Shigella,,,,,
