Organism name,Length,Benchmark ID,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum
uncultured Staphylococcus sp.,372,CRW_16S_B_9950,Bacteria,Firmicutes
uncultured Staphylococcus sp.,782,CRW_16S_B_9961,Bacteria,Firmicutes
uncultured Staphylococcus sp.,792,CRW_16S_B_9962,Bacteria,Firmicutes
uncultured Staphylococcus sp.,790,CRW_16S_B_9963,Bacteria,Firmicutes
uncultured Staphylococcus sp.,779,CRW_16S_B_9964,Bacteria,Firmicutes
uncultured Staphylococcus sp.,787,CRW_16S_B_9965,Bacteria,Firmicutes
uncultured Staphylococcus sp.,778,CRW_16S_B_9966,Bacteria,Firmicutes
uncultured Staphylococcus sp.,373,CRW_16S_B_9967,Bacteria,Firmicutes
uncultured Streptococcus sp.,749,CRW_16S_B_9968,Bacteria,Firmicutes
Bacillus clausii,707,CRW_16S_B_9972,Bacteria,Firmicutes
Planococcus sp. 'Mali 5',686,CRW_16S_B_9975,,
Staphylococcus xylosus,751,CRW_16S_B_9976,Bacteria,Firmicutes
Planomicrobium mcmeekinii,773,CRW_16S_B_9977,Bacteria,Firmicutes
Bacillus sp. 'Mali 13',703,CRW_16S_B_9978,,
Jeotgalibacillus alimentarius,721,CRW_16S_B_9979,Bacteria,Firmicutes
Bacillus pumilus,683,CRW_16S_B_9980,Bacteria,Firmicutes
Bacillus megaterium,772,CRW_16S_B_9982,Bacteria,Firmicutes
Staphylococcus gallinarum,711,CRW_16S_B_9983,Bacteria,Firmicutes
Bacillus niacini,711,CRW_16S_B_9984,Bacteria,Firmicutes
Bacillus subtilis,644,CRW_16S_B_9985,Bacteria,Firmicutes
Bacillus niacini,644,CRW_16S_B_9986,Bacteria,Firmicutes
Bacillus sp. 'Mali 223',673,CRW_16S_B_9987,,
Bacillus sp. 'Mali 230',570,CRW_16S_B_9988,,
uncultured Bacilli bacterium,440,CRW_16S_B_9989,Bacteria,Firmicutes
uncultured Streptococcus sp.,563,CRW_16S_B_10005,Bacteria,Firmicutes
uncultured Streptococcus sp.,681,CRW_16S_B_10006,Bacteria,Firmicutes
Staphylococcus sp. UST010620-004,703,CRW_16S_B_10007,,
Bacillus sp. UST020129-025,602,CRW_16S_B_10008,,
Bacillus sp. UST020129-009,635,CRW_16S_B_10009,,
Bacillus sp. UST020129-017,625,CRW_16S_B_10010,,
Bacillus sp. UST020129-005,563,CRW_16S_B_10011,,
Streptococcus iniae,654,CRW_16S_B_10014,Bacteria,Firmicutes
marine bacterium SIMO-1580,498,CRW_16S_B_10022,,
marine bacterium SIMO-1597,508,CRW_16S_B_10023,,
uncultured Bacillus sp.,420,CRW_16S_B_10025,Bacteria,Firmicutes
Staphylococcus epidermidis,651,CRW_16S_B_10026,Bacteria,Firmicutes
Bacillus sp. MSB2047,538,CRW_16S_B_10028,,
