Organism name,Length,Benchmark ID,Taxonomy.LTP.superkingdom,Taxonomy.LTP.class,Taxonomy.LTP.order
Halorubrum sodomense,72,CRW_t_A_10,Archaea,Halobacteria,Haloferacales
Halorubrum saccharovorum,72,CRW_t_A_11,Archaea,Halobacteria,Haloferacales
Halorubrum distributum,72,CRW_t_A_13,Archaea,Halobacteria,Haloferacales
Halorubrum coriense,72,CRW_t_A_14,Archaea,Halobacteria,Haloferacales
Natronobacterium gregoryi,72,CRW_t_A_16,Archaea,Halobacteria,Natrialbales
Halorubrum vacuolatum,72,CRW_t_A_17,Archaea,Halobacteria,Haloferacales
Halosimplex carlsbadense,72,CRW_t_A_47,Archaea,Halobacteria,Halobacteriales
Halosimplex carlsbadense,72,CRW_t_A_48,Archaea,Halobacteria,Halobacteriales
Haloferax volcanii,75,CRW_t_A_224,Archaea,Halobacteria,Haloferacales
Pyrobaculum aerophilum,72,CRW_t_A_225,Archaea,,
Haloarcula marismortui,72,CRW_t_A_559,Archaea,Halobacteria,Halobacteriales
Haloferax volcanii,75,CRW_t_A_1295,Archaea,Halobacteria,Haloferacales
Thermoplasma acidophilum,72,CRW_t_A_1589,Archaea,Thermoplasmata,Thermoplasmatales
Thermoplasma acidophilum,72,CRW_t_A_1590,Archaea,Thermoplasmata,Thermoplasmatales
Archaeoglobus fulgidus,72,CRW_t_A_1847,Archaea,Archaeoglobi,Archaeoglobales
Archaeoglobus fulgidus,72,CRW_t_A_1848,Archaea,Archaeoglobi,Archaeoglobales
Haloferax volcanii,75,CRW_t_A_1849,Archaea,Halobacteria,Haloferacales
Methanothermus fervidus,74,CRW_t_A_1852,Archaea,Methanobacteria,Methanobacteriales
Methanospirillum hungatei,73,CRW_t_A_1853,Archaea,Methanomicrobia,Methanomicrobiales
Methanothermobacter thermautotrophicus,74,CRW_t_A_1854,Archaea,Methanobacteria,Methanobacteriales
Methanococcus vannielii,73,CRW_t_A_1855,Archaea,Methanococci,Methanococcales
Pyrobaculum aerophilum,72,CRW_t_A_1856,Archaea,,
Pyrococcus woesei,78,CRW_t_A_2212,Archaea,Thermococci,Thermococcales
Haloquadratum walsbyi,72,CRW_t_A_4110,Archaea,Halobacteria,Haloferacales
Haloquadratum walsbyi,72,CRW_t_A_4111,Archaea,Halobacteria,Haloferacales
Halobacterium salinarum,72,CRW_t_A_4357,Archaea,Halobacteria,Halobacteriales
Halobacterium salinarum,77,CRW_t_A_4358,Archaea,Halobacteria,Halobacteriales
Haloferax volcanii,71,CRW_t_A_4359,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,75,CRW_t_A_4360,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,75,CRW_t_A_4361,Archaea,Halobacteria,Haloferacales
Haloferax volcanii,75,CRW_t_A_4362,Archaea,Halobacteria,Haloferacales
Halobacterium salinarum,75,CRW_t_A_4363,Archaea,Halobacteria,Halobacteriales
Haloferax mediterranei,72,CRW_t_A_4364,Archaea,Halobacteria,Haloferacales
Methanospirillum hungatei,73,CRW_t_A_4381,Archaea,Methanomicrobia,Methanomicrobiales
Natronococcus amylolyticus,76,CRW_t_A_4386,Archaea,Halobacteria,Natrialbales
Pyrococcus furiosus,78,CRW_t_A_4406,Archaea,Thermococci,Thermococcales
Thermococcus celer,77,CRW_t_A_4431,Archaea,Thermococci,Thermococcales
Methanococcus vannielii,73,CRW_t_A_4459,Archaea,Methanococci,Methanococcales
Halobacterium salinarum,75,CRW_t_A_4464,Archaea,Halobacteria,Halobacteriales
Halobacterium salinarum,72,CRW_t_A_4466,Archaea,Halobacteria,Halobacteriales
Thermoproteus tenax,72,CRW_t_A_4470,Archaea,,
Thermoproteus tenax,72,CRW_t_A_4471,Archaea,,
Methanothermobacter thermautotrophicus,75,CRW_t_A_4477,Archaea,Methanobacteria,Methanobacteriales
Methanosarcina mazei,73,CRW_t_A_4497,Archaea,Methanomicrobia,Methanosarcinales
Natrialba magadii,75,CRW_t_A_4502,Archaea,Halobacteria,Natrialbales
Halococcus morrhuae,63,CRW_t_A_4504,Archaea,Halobacteria,Halobacteriales
Thermoplasma acidophilum,73,CRW_t_A_4893,Archaea,Thermoplasmata,Thermoplasmatales
Methanothermus fervidus,74,CRW_t_A_5704,Archaea,Methanobacteria,Methanobacteriales
Halobacterium salinarum,76,CRW_t_A_5710,Archaea,Halobacteria,Halobacteriales
Methanothermus fervidus,74,CRW_t_A_5711,Archaea,Methanobacteria,Methanobacteriales
Methanothermobacter thermautotrophicus,78,CRW_t_A_5735,Archaea,Methanobacteria,Methanobacteriales
Halobacterium salinarum,76,CRW_t_A_5767,Archaea,Halobacteria,Halobacteriales
Methanothermobacter thermautotrophicus,78,CRW_t_A_5770,Archaea,Methanobacteria,Methanobacteriales
Thermoplasma acidophilum,73,CRW_t_A_6164,Archaea,Thermoplasmata,Thermoplasmatales
Haloferax volcanii,76,CRW_t_A_7048,Archaea,Halobacteria,Haloferacales
Methanothermus fervidus,72,CRW_t_A_7049,Archaea,Methanobacteria,Methanobacteriales
Methanobacterium formicicum,74,CRW_t_A_7050,Archaea,Methanobacteria,Methanobacteriales
Methanococcus vannielii,75,CRW_t_A_7051,Archaea,Methanococci,Methanococcales
Haloferax volcanii,76,CRW_t_A_7126,Archaea,Halobacteria,Haloferacales
Methanothermus fervidus,72,CRW_t_A_7130,Archaea,Methanobacteria,Methanobacteriales
Thermococcus celer,78,CRW_t_A_7154,Archaea,Thermococci,Thermococcales
Methanococcus vannielii,76,CRW_t_A_7181,Archaea,Methanococci,Methanococcales
Methanococcus vannielii,75,CRW_t_A_7182,Archaea,Methanococci,Methanococcales
Thermococcus celer,78,CRW_t_A_7193,Archaea,Thermococci,Thermococcales
Haloquadratum walsbyi,76,CRW_t_A_7899,Archaea,Halobacteria,Haloferacales
Haloquadratum walsbyi,76,CRW_t_A_7900,Archaea,Halobacteria,Haloferacales
