Organism name,Length,Benchmark ID,Taxonomy.GTDB.domain,Taxonomy.GTDB.phylum
uncultured Staphylococcus sp.,861,CRW_16S_B_9940,Bacteria,Firmicutes
uncultured Staphylococcus sp.,857,CRW_16S_B_9941,Bacteria,Firmicutes
uncultured Staphylococcus sp.,856,CRW_16S_B_9942,Bacteria,Firmicutes
uncultured Staphylococcus sp.,856,CRW_16S_B_9943,Bacteria,Firmicutes
uncultured Staphylococcus sp.,857,CRW_16S_B_9944,Bacteria,Firmicutes
uncultured Staphylococcus sp.,829,CRW_16S_B_9945,Bacteria,Firmicutes
uncultured Staphylococcus sp.,855,CRW_16S_B_9946,Bacteria,Firmicutes
uncultured Staphylococcus sp.,857,CRW_16S_B_9947,Bacteria,Firmicutes
uncultured Staphylococcus sp.,806,CRW_16S_B_9948,Bacteria,Firmicutes
uncultured Staphylococcus sp.,805,CRW_16S_B_9949,Bacteria,Firmicutes
uncultured Staphylococcus sp.,888,CRW_16S_B_9951,Bacteria,Firmicutes
uncultured Staphylococcus sp.,891,CRW_16S_B_9952,Bacteria,Firmicutes
uncultured Staphylococcus sp.,878,CRW_16S_B_9953,Bacteria,Firmicutes
uncultured Staphylococcus sp.,895,CRW_16S_B_9954,Bacteria,Firmicutes
uncultured Staphylococcus sp.,873,CRW_16S_B_9955,Bacteria,Firmicutes
uncultured Staphylococcus sp.,857,CRW_16S_B_9956,Bacteria,Firmicutes
uncultured Staphylococcus sp.,856,CRW_16S_B_9957,Bacteria,Firmicutes
uncultured Staphylococcus sp.,840,CRW_16S_B_9958,Bacteria,Firmicutes
uncultured Staphylococcus sp.,804,CRW_16S_B_9959,Bacteria,Firmicutes
uncultured Staphylococcus sp.,803,CRW_16S_B_9960,Bacteria,Firmicutes
Bacillus cereus,847,CRW_16S_B_10116,Bacteria,Firmicutes
Bacillus cereus,857,CRW_16S_B_10117,Bacteria,Firmicutes
uncultured Bacilli bacterium,914,CRW_16S_B_10191,Bacteria,Firmicutes
uncultured Bacilli bacterium,928,CRW_16S_B_10192,Bacteria,Firmicutes
uncultured Bacilli bacterium,914,CRW_16S_B_10193,Bacteria,Firmicutes
uncultured Bacilli bacterium,928,CRW_16S_B_10194,Bacteria,Firmicutes
uncultured Bacillaceae bacterium,907,CRW_16S_B_10241,Bacteria,Firmicutes
