Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.LTP.Classified,Taxonomy.LTP.superkingdom,Taxonomy.LTP.unknown 0,Taxonomy.LTP.class,Taxonomy.LTP.unknown 1,Taxonomy.LTP.family,Taxonomy.LTP.order,Taxonomy.LTP.unknown 2,Taxonomy.LTP.phylum
Virgibacillus marismortui,AB243786,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_117,--,Yes,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,,,
Enterococcus faecium,AF003921,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_536,--,Yes,Bacteria,Bacillota,Bacilli,,Enterococcaceae,Lactobacillales,,
Bacillus subtilis,AF008220,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_541,--,Yes,Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,,,
Streptococcus agalactiae,AF064441,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_574,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Enterococcus faecium,AF070676,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_579,--,Yes,Bacteria,Bacillota,Bacilli,,Enterococcaceae,Lactobacillales,,
Enterococcus faecium,AF070678,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_580,--,Yes,Bacteria,Bacillota,Bacilli,,Enterococcaceae,Lactobacillales,,
Enterococcus faecium,AF082292,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_615,--,Yes,Bacteria,Bacillota,Bacilli,,Enterococcaceae,Lactobacillales,,
Enterococcus faecium,AF082294,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_616,--,Yes,Bacteria,Bacillota,Bacilli,,Enterococcaceae,Lactobacillales,,
Pseudomonas tolaasii,AF127578,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_638,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Pseudomonadaceae,Pseudomonadales,,
Pseudomonas tolaasii,AF127579,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_639,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Pseudomonadaceae,Pseudomonadales,,
Pseudomonas fluorescens,AF127585,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_645,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Pseudomonadaceae,Pseudomonadales,,
Pseudomonas fluorescens,AF127586,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_646,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Pseudomonadaceae,Pseudomonadales,,
Pseudomonas fluorescens,AF127587,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_647,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Pseudomonadaceae,Pseudomonadales,,
Pseudomonas fluorescens,AF127588,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_648,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Pseudomonadaceae,Pseudomonadales,,
Pseudomonas agarici,AF127589,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_649,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Pseudomonadaceae,Pseudomonadales,,
Pseudomonas fluorescens,AF127591,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_651,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Pseudomonadaceae,Pseudomonadales,,
Pseudomonas fluorescens,AF134705,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_653,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Pseudomonadaceae,Pseudomonadales,,
Pseudomonas fluorescens,AF148208,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_662,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Pseudomonadaceae,Pseudomonadales,,
Alcanivorax borkumensis,AF197570,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_756,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,,Alcanivoracaceae,Pseudomonadales,,
Lactococcus lactis subsp. lactis,AF284218,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_813,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Lactococcus raffinolactis,AF284219,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_814,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Lactococcus raffinolactis,AF284220,23,17,6,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_B_815,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Streptococcus parauberis,AF284577,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_816,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Streptococcus agalactiae,AF291411,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_818,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Streptococcus agalactiae,AF291414,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_821,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Streptococcus agalactiae,AF291415,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_822,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
Streptococcus agalactiae,AF291417,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_824,--,Yes,Bacteria,Bacillota,Bacilli,,Streptococcaceae,Lactobacillales,,
