Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.unknown 2,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.tribe,Taxonomy.NCBI.species group,Taxonomy.NCBI.species subgroup,Taxonomy.NCBI.subgenus,Taxonomy.NCBI.subphylum,Taxonomy.NCBI.no rank 5,Taxonomy.NCBI.unknown 3,Taxonomy.NCBI.subclass,Taxonomy.NCBI.suborder
Taylorella asinigenitalis,AB264283,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_159,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,Taylorella asinigenitalis,,,,,,,,,,,,,,
Taylorella asinigenitalis,AB264284,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_160,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,Taylorella asinigenitalis,,,,,,,,,,,,,,
Taylorella asinigenitalis,AB264285,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_161,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,Taylorella asinigenitalis,,,,,,,,,,,,,,
Taylorella asinigenitalis,AB264286,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_162,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,Taylorella asinigenitalis,,,,,,,,,,,,,,
Taylorella asinigenitalis,AB264287,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_163,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,Taylorella asinigenitalis,,,,,,,,,,,,,,
Taylorella asinigenitalis,AB264288,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_164,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,Taylorella asinigenitalis,,,,,,,,,,,,,,
Taylorella asinigenitalis,AB264289,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_165,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,Taylorella asinigenitalis,,,,,,,,,,,,,,
Taylorella asinigenitalis,AB264290,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_166,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,Taylorella asinigenitalis,,,,,,,,,,,,,,
Taylorella asinigenitalis,AB264291,75,33,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_167,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,Taylorella asinigenitalis,,,,,,,,,,,,,,
Treponema pallidum subsp. pallidum str. Nichols,AE000520,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_234,--,Yes,root,cellular organisms,Bacteria,,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Spirochaetes <phylum>,Treponema pallidum,Treponema pallidum subsp. pallidum,Treponema pallidum subsp. pallidum str. Nichols,,,,,,,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_398,--,Yes,root,cellular organisms,Bacteria,,Bacteroidia,Bacteroidales,Bacteroidaceae,,Bacteroidetes <phylum>,Bacteroides <genus>,Bacteroides thetaiotaomicron,FCB group,Bacteroidetes/Chlorobi group,Bacteroides thetaiotaomicron VPI-5482,,,,,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_399,--,Yes,root,cellular organisms,Bacteria,,Bacteroidia,Bacteroidales,Bacteroidaceae,,Bacteroidetes <phylum>,Bacteroides <genus>,Bacteroides thetaiotaomicron,FCB group,Bacteroidetes/Chlorobi group,Bacteroides thetaiotaomicron VPI-5482,,,,,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_400,--,Yes,root,cellular organisms,Bacteria,,Bacteroidia,Bacteroidales,Bacteroidaceae,,Bacteroidetes <phylum>,Bacteroides <genus>,Bacteroides thetaiotaomicron,FCB group,Bacteroidetes/Chlorobi group,Bacteroides thetaiotaomicron VPI-5482,,,,,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_401,--,Yes,root,cellular organisms,Bacteria,,Bacteroidia,Bacteroidales,Bacteroidaceae,,Bacteroidetes <phylum>,Bacteroides <genus>,Bacteroides thetaiotaomicron,FCB group,Bacteroidetes/Chlorobi group,Bacteroides thetaiotaomicron VPI-5482,,,,,,,,,
Bacteroides thetaiotaomicron VPI-5482,AE015928,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_402,--,Yes,root,cellular organisms,Bacteria,,Bacteroidia,Bacteroidales,Bacteroidaceae,,Bacteroidetes <phylum>,Bacteroides <genus>,Bacteroides thetaiotaomicron,FCB group,Bacteroidetes/Chlorobi group,Bacteroides thetaiotaomicron VPI-5482,,,,,,,,,
Rickettsia typhi str. Wilmington,AE017197,75,31,44,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_t_B_476,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia typhi,,,Rickettsia typhi str. Wilmington,,,Rickettsieae,typhus group,,,,,,,
