Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.LTP.Classified,Taxonomy.LTP.superkingdom,Taxonomy.LTP.unknown 0,Taxonomy.LTP.class,Taxonomy.LTP.order,Taxonomy.LTP.family,Taxonomy.LTP.unknown 1,Taxonomy.LTP.unknown 2,Taxonomy.LTP.phylum
Acholeplasma axanthum,AF005315,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_537,--,Yes,Bacteria,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,,,
Actinobacillus seminis,AF013276,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_542,--,Yes,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,,,
Campylobacter jejuni,AF074828,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_583,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacteria,,
Campylobacter jejuni,AF074829,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_584,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacteria,,
Campylobacter jejuni,AF074830,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_585,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacteria,,
Campylobacter jejuni,AF074831,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_586,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacteria,,
Campylobacter jejuni,AF074832,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_587,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacteria,,
Campylobacter jejuni,AF074833,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_588,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacteria,,
Campylobacter jejuni,AF074834,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_589,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacteria,,
Campylobacter jejuni,AF074835,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_590,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacteria,,
Campylobacter jejuni,AF074836,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_591,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacteria,,
Campylobacter coli,AF074837,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_592,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacteria,,
