Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.class,Taxonomy.ENA.order,Taxonomy.ENA.family,Taxonomy.ENA.genus,Taxonomy.ENA.species group,Taxonomy.ENA.unknown 0,Taxonomy.ENA.tribe,Taxonomy.ENA.no rank 0,Taxonomy.ENA.suborder
Acinetobacter genomosp. 13,U60281,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_6,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,,,,
Prevotella ruminicola,AB003402,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_9,--,Yes,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,,,,
Xanthomonas campestris,AB004282,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_18,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,
Xanthomonas campestris,AB004283,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,
Xanthomonas campestris,AB004284,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_20,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,
Xanthomonas campestris,AB004285,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_21,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,
Xanthomonas campestris,AB004286,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_22,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,
Xanthomonas campestris,AB004287,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_23,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,
Xanthomonas campestris,AB004288,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_24,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,
Xanthomonas campestris,AB004289,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_25,--,Yes,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,
