Organism name,Length,Benchmark ID,Taxonomy.LTP.superkingdom,Taxonomy.LTP.phylum
uncultured Staphylococcus sp.,372,CRW_16S_B_9950,,
uncultured Staphylococcus sp.,782,CRW_16S_B_9961,,
uncultured Staphylococcus sp.,792,CRW_16S_B_9962,,
uncultured Staphylococcus sp.,790,CRW_16S_B_9963,,
uncultured Staphylococcus sp.,779,CRW_16S_B_9964,,
uncultured Staphylococcus sp.,787,CRW_16S_B_9965,,
uncultured Staphylococcus sp.,778,CRW_16S_B_9966,,
uncultured Staphylococcus sp.,373,CRW_16S_B_9967,,
uncultured Streptococcus sp.,749,CRW_16S_B_9968,,
Bacillus clausii,707,CRW_16S_B_9972,,
Planococcus sp. 'Mali 5',686,CRW_16S_B_9975,,
Staphylococcus xylosus,751,CRW_16S_B_9976,Bacteria,
Planomicrobium mcmeekinii,773,CRW_16S_B_9977,,
Bacillus sp. 'Mali 13',703,CRW_16S_B_9978,,
Jeotgalibacillus alimentarius,721,CRW_16S_B_9979,Bacteria,
Bacillus pumilus,683,CRW_16S_B_9980,Bacteria,
Bacillus megaterium,772,CRW_16S_B_9982,,
Staphylococcus gallinarum,711,CRW_16S_B_9983,Bacteria,
Bacillus niacini,711,CRW_16S_B_9984,,
Bacillus subtilis,644,CRW_16S_B_9985,Bacteria,
Bacillus niacini,644,CRW_16S_B_9986,,
Bacillus sp. 'Mali 223',673,CRW_16S_B_9987,,
Bacillus sp. 'Mali 230',570,CRW_16S_B_9988,,
uncultured Bacilli bacterium,440,CRW_16S_B_9989,,
uncultured Streptococcus sp.,563,CRW_16S_B_10005,,
uncultured Streptococcus sp.,681,CRW_16S_B_10006,,
Staphylococcus sp. UST010620-004,703,CRW_16S_B_10007,,
Bacillus sp. UST020129-025,602,CRW_16S_B_10008,,
Bacillus sp. UST020129-009,635,CRW_16S_B_10009,,
Bacillus sp. UST020129-017,625,CRW_16S_B_10010,,
Bacillus sp. UST020129-005,563,CRW_16S_B_10011,,
Streptococcus iniae,654,CRW_16S_B_10014,Bacteria,
marine bacterium SIMO-1580,498,CRW_16S_B_10022,,
marine bacterium SIMO-1597,508,CRW_16S_B_10023,,
