Organism name,Length,Benchmark ID,Taxonomy.GTDB.domain,Taxonomy.GTDB.phylum,Taxonomy.GTDB.class,Taxonomy.GTDB.order
Halorubrum sodomense,72,CRW_t_A_10,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Halorubrum saccharovorum,72,CRW_t_A_11,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Halorubrum lacusprofundi ATCC 49239,72,CRW_t_A_12,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Natronomonas pharaonis DSM 2160,72,CRW_t_A_15,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Natronobacterium gregoryi,72,CRW_t_A_16,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Halorubrum vacuolatum,72,CRW_t_A_17,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Haloferax volcanii,75,CRW_t_A_224,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Pyrobaculum aerophilum,72,CRW_t_A_225,Archaea,Thermoproteota,Thermoproteia,Thermoproteales
Archaeoglobus fulgidus DSM 4304,72,CRW_t_A_238,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales
Archaeoglobus fulgidus DSM 4304,74,CRW_t_A_239,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales
Archaeoglobus fulgidus DSM 4304,72,CRW_t_A_240,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales
Methanosarcina mazei Go1,72,CRW_t_A_289,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina mazei Go1,73,CRW_t_A_290,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Methanosarcina mazei Go1,72,CRW_t_A_291,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales
Pyrobaculum aerophilum str. IM2,75,CRW_t_A_310,Archaea,Thermoproteota,Thermoproteia,Thermoproteales
Pyrobaculum aerophilum str. IM2,72,CRW_t_A_311,Archaea,Thermoproteota,Thermoproteia,Thermoproteales
Pyrococcus furiosus DSM 3638,78,CRW_t_A_320,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Pyrococcus furiosus DSM 3638,77,CRW_t_A_321,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Pyrococcus furiosus DSM 3638,78,CRW_t_A_322,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Methanopyrus kandleri AV19,77,CRW_t_A_324,Archaea,Methanobacteriota_A,Methanopyri,Methanopyrales
Methanopyrus kandleri AV19,77,CRW_t_A_325,Archaea,Methanobacteriota_A,Methanopyri,Methanopyrales
Haloferax volcanii,75,CRW_t_A_1295,Archaea,Halobacteriota,Halobacteria,Halobacteriales
Pyrococcus abyssi GE5,78,CRW_t_A_1324,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Pyrococcus abyssi GE5,77,CRW_t_A_1325,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
Pyrococcus abyssi GE5,78,CRW_t_A_1326,Archaea,Methanobacteriota_B,Thermococci,Thermococcales
